L4_name,L2_name,papers,total_citations,mean_citations,total_altmetric,h_index,modal_researcher,unique_researchers,modal_org,unique_orgs,percent_female
Epidemiology,Health Sciences,6930,181499,26.19033189033189,219135.0,177,George Davey Smith,26837,Harvard University,4934,31.333294871055212
Clinical Sciences,Biomedical and Clinical Sciences,6080,114160,18.776315789473685,274179.0,142,Steffen Erhard Petersen,26355,University of Oxford,4877,29.931531531531533
Genetics,Biological Sciences,5777,241304,41.76977670070971,212843.0,222,Kari Stefansson,28263,Harvard University,5569,33.89058823529412
Biological Psychology,Psychology,2405,56677,23.566320166320168,124825.0,104,Andrew Mark Mcintosh,9923,King's College London,2378,33.388088780226916
Cardiovascular Medicine and Haematology,Biomedical and Clinical Sciences,2148,48579,22.615921787709496,98447.0,103,Steffen Erhard Petersen,10749,Harvard University,2406,27.994481971268197
Public Health,Health Sciences,2138,66527,31.11646398503274,176915.0,115,Jill P Pell,8359,University of Oxford,1961,31.987000928505108
Oncology and Carcinogenesis,Biomedical and Clinical Sciences,1522,24846,16.324572930354798,44935.0,69,Marc James Gunter,8020,Harvard University,2019,35.32183976615164
Health Services and Systems,Health Sciences,1336,31870,23.854790419161677,85185.0,77,Jill P Pell,7135,University of Oxford,1735,33.766863236125694
Nutrition and Dietetics,Biomedical and Clinical Sciences,1261,23054,18.282315622521807,79729.0,76,Aurora Perez-Cornago,5893,Harvard University,1637,32.31299212598425
Statistics,Mathematical Sciences,1235,24583,19.905263157894737,15410.0,66,George Davey Smith,4930,University of Bristol,1197,26.689468097653027
Neurosciences,Biomedical and Clinical Sciences,1219,22685,18.60951599671862,58542.0,63,Jin-Tai Yu,6836,University of Oxford,1559,33.27637377462002
Ophthalmology and Optometry,Biomedical and Clinical Sciences,613,10268,16.750407830342578,18553.0,52,Anthony P Khawaja,2588,National Institute for Health and Care Research,874,26.73460212797842
Medical Biochemistry and Metabolomics,Biomedical and Clinical Sciences,607,9578,15.779242174629324,9816.0,41,Peter Würtz,3992,Harvard University,1128,28.498293515358363
Pharmacology and Pharmaceutical Sciences,Biomedical and Clinical Sciences,603,13533,22.442786069651742,20234.0,58,Michael C O'Donovan,4072,King's College London,1163,32.74745605920444
Immunology,Biomedical and Clinical Sciences,445,8278,18.602247191011237,12437.0,47,Tony Raymond Merriman,3269,Harvard University,993,30.51129607609988
Biochemistry and Cell Biology,Biological Sciences,380,4508,11.863157894736842,8402.0,34,Jian-Feng Feng,3322,Harvard University,969,32.03577064702788
Machine Learning,Information and Computing Sciences,323,3936,12.185758513931889,1790.0,27,Daniel Rueckert,1270,King's College London,426,23.1496062992126
Reproductive Medicine,Biomedical and Clinical Sciences,301,6976,23.176079734219268,12742.0,36,Debbie Anne Lawlor,2038,MRC Integrative Epidemiology Unit,665,41.85968445787177
Bioinformatics and Computational Biology,Biological Sciences,269,13116,48.75836431226766,9256.0,42,Slave Petrovski,2849,Harvard University,816,33.08783415166394
Clinical and Health Psychology,Psychology,191,4655,24.3717277486911,9359.0,35,Jonathan Richard Iain Coleman,1497,Harvard University,521,32.92811839323467
Pollution and Contamination,Environmental Sciences,160,3231,20.19375,3514.0,28,Hua-Liang Lin,892,Sun Yat-sen University,268,22.59970457902511
Cognitive and Computational Psychology,Psychology,117,3719,31.786324786324787,3328.0,23,Lars Tjelta Westlye,999,University of Oxford,360,29.917355371900825
Allied Health and Rehabilitation Science,Health Sciences,114,2572,22.56140350877193,7347.0,22,Piers D Dawes,697,King's College London,268,29.81366459627329
Biomedical Engineering,Engineering,101,3526,34.91089108910891,3364.0,17,Abhirup Banerjee,691,University of Oxford,271,22.74939172749392
Dentistry,Biomedical and Clinical Sciences,98,1690,17.244897959183675,1106.0,17,Jianhua Wu,484,University of Leeds,203,28.760330578512395
Social and Personality Psychology,Psychology,90,2450,27.22222222222222,3577.0,24,Ian J Deary,476,University of Edinburgh,203,32.602739726027394
Medical Physiology,Biomedical and Clinical Sciences,89,1701,19.1123595505618,2197.0,20,Olle Melander,1018,Imperial College London,372,33.361486486486484
Computer Vision and Multimedia Computation,Information and Computing Sciences,79,840,10.632911392405063,331.0,16,Daniel Rueckert,264,Imperial College London,110,21.428571428571427
Applied and Developmental Psychology,Psychology,70,1107,15.814285714285715,2158.0,16,Sarah D Bauermeister,430,King's College London,194,30.947775628626694
Food Sciences,"Agricultural, Veterinary and Food Sciences",64,525,8.203125,4667.0,10,Kaixiong Ye,383,Harvard University,178,29.977116704805493
Medical Microbiology,Biomedical and Clinical Sciences,63,1434,22.761904761904763,10223.0,17,Axel Schmidt,729,University College London,230,38.41463414634146
Sports Science and Exercise,Health Sciences,61,580,9.508196721311476,1213.0,11,Patrick Thomas Ellinor,453,Massachusetts General Hospital,167,28.859060402684563
Microbiology,Biological Sciences,58,3219,55.5,2784.0,15,Aki Samuli Havulinna,445,Monash University,203,26.3671875
Paediatrics,Biomedical and Clinical Sciences,52,577,11.096153846153847,1071.0,13,John R B Perry,563,Harvard University,253,37.868852459016395
"Graphics, Augmented Reality and Games",Information and Computing Sciences,51,559,10.96078431372549,178.0,12,Abhirup Banerjee,149,University of Oxford,46,21.722846441947567
Data Management and Data Science,Information and Computing Sciences,45,372,8.266666666666667,120.0,10,Steffen Erhard Petersen,213,University of Oxford,100,17.22972972972973
Medicinal and Biomolecular Chemistry,Chemical Sciences,42,153,3.642857142857143,122.0,8,Je Hyun Seo,270,Beijing University of Technology,126,26.148409893992934
Human Geography,Human Society,32,639,19.96875,2261.0,12,Kate E Mason,130,London School of Hygiene & Tropical Medicine,70,30.303030303030305
Medical Biotechnology,Biomedical and Clinical Sciences,29,1323,45.62068965517241,855.0,10,Naomi E Allen,240,Peking University,104,26.446280991735538
Animal Production,"Agricultural, Veterinary and Food Sciences",27,109,4.037037037037037,150.0,5,Kaixiong Ye,168,University of Georgia,64,36.15819209039548
Medical and Biological Physics,Physical Sciences,25,332,13.28,54.0,8,Alistair A A Young,140,University of Oxford,46,20.737327188940093
Applied Computing,Information and Computing Sciences,25,294,11.76,101.0,8,Hua Zhou,170,Case Western Reserve University,73,27.11864406779661
Analytical Chemistry,Chemical Sciences,24,780,32.5,203.0,6,Ben Schöttker,181,German Cancer Research Center,79,27.876106194690266
Midwifery,Health Sciences,22,1342,61.0,2261.0,7,Ana Luiza Gonçalves Soares,140,University of Bristol,80,57.79816513761468
Econometrics,Economics,20,57,2.85,32.0,4,Baoluo Sun,44,Yale University,22,21.818181818181817
Human-Centred Computing,Information and Computing Sciences,18,307,17.055555555555557,1786.0,5,Christopher Beach,65,University of Manchester,34,20.87912087912088
Communications Engineering,Engineering,18,123,6.833333333333333,23.0,4,Neda Jahanshad,74,Imaging Genetics Ctr. (United States),31,31.52173913043478
"Electronics, Sensors and Digital Hardware",Engineering,17,87,5.117647058823529,4.0,4,Neda Jahanshad,73,Imaging Genetics Ctr. (United States),33,41.37931034482759
Artificial Intelligence,Information and Computing Sciences,17,95,5.588235294117647,16.0,4,Andrew Peter King,43,King's College London,27,24.137931034482758
Human Resources and Industrial Relations,"Commerce, Management, Tourism and Services",17,83,4.882352941176471,60.0,5,Evangelia Demou,77,MRC/CSO Social and Public Health Sciences Unit,37,35.042735042735046
Anthropology,Human Society,16,377,23.5625,4959.0,6,Eucharist H Kun,162,Broad Institute,86,29.6875
Nursing,Health Sciences,15,194,12.933333333333334,64.0,6,Philip I-Fon Chow,82,University of Glasgow,53,33.333333333333336
Demography,Human Society,15,217,14.466666666666667,236.0,7,Jason Michael Fletcher,61,University of Wisconsin-Madison,31,28.235294117647058
Chemical Engineering,Engineering,13,12,0.9230769230769231,32.0,2,An Pan,68,Addenbrooke's Hospital,35,20.58823529411765
Archaeology,"History, Heritage and Archaeology",12,611,50.916666666666664,6585.0,4,Abigail Daisy Ramsøe,283,University of Bristol,182,41.42394822006472
"Atomic, Molecular and Optical Physics",Physical Sciences,12,21,1.75,3.0,3,Neda Jahanshad,40,Imaging Genetics Ctr. (United States),18,53.03030303030303
Applied Economics,Economics,12,69,5.75,112.0,4,Stephanie Von Hinke,38,China Agricultural University,23,30.232558139534884
Distributed Computing and Systems Software,Information and Computing Sciences,10,283,28.3,4.0,5,Andre Altmann,40,University of Leeds,18,15.217391304347826
Agricultural Biotechnology,"Agricultural, Veterinary and Food Sciences",10,1920,192.0,1294.0,8,Alkes L Price,339,Harvard University,172,39.83739837398374
Cybersecurity and Privacy,Information and Computing Sciences,9,69,7.666666666666667,36.0,3,Hyunghoon Cho,34,Yale University,22,22.80701754385965
