Level Four Field of Research,Total Papers,Level Two Field of Research,Total Citations,H-Index,Total Altmetric,Modal Researcher,Unique Researchers,Percent Female,Modal Organisation,Unique Organisations,n 2024,n 2025,Growth %
Atmospheric Sciences,8,Earth Sciences,13,2,13.0,Binbin Su,58,22.413793103448278,Sun Yat-sen University,19,1,7,600.0
Human Geography,32,Human Society,639,12,2261.0,Kate E Mason,130,30.303030303030305,London School of Hygiene & Tropical Medicine,70,1,6,500.0
Applied Economics,12,Economics,69,4,112.0,Stephanie Von Hinke,38,30.232558139534884,China Agricultural University,23,1,4,300.0
Environmental Engineering,5,Engineering,19,2,8.0,Bing-Ying Deng,41,21.951219512195124,Sun Yat-sen University,10,1,4,300.0
Econometrics,20,Economics,57,4,32.0,Baoluo Sun,44,21.818181818181817,Yale University,22,2,7,250.0
Chemical Engineering,13,Engineering,12,2,32.0,An Pan,68,20.58823529411765,Addenbrooke's Hospital,35,2,7,250.0
Applied and Developmental Psychology,70,Psychology,1107,16,2158.0,Sarah D Bauermeister,430,30.947775628626694,King's College London,194,7,21,200.0
Artificial Intelligence,17,Information and Computing Sciences,95,4,16.0,Andrew Peter King,43,24.137931034482758,King's College London,27,3,9,200.0
Information Systems,9,Information and Computing Sciences,95,4,26.0,Abdullah Mesut Erzurumluoglu,61,26.229508196721312,Barts Health NHS Trust,25,1,3,200.0
Electrical Engineering,6,Engineering,61,4,1.0,Alauddin Bhuiyan,24,16.666666666666668,Colorado School of Public Health,12,1,3,200.0
