year,Epidemiology,Clinical Sciences,Genetics,Biological Psychology,Cardiovascular Medicine and Haematology,Public Health,Oncology and Carcinogenesis,Health Services and Systems,All other categories
2013,28.5714,14.2857,0.0,0.0,0.0,28.5714,0.0,14.2857,14.2857
2014,8.3333,19.4444,2.7778,0.0,5.5556,25.0,2.7778,8.3333,27.7778
2015,16.5217,11.3043,14.7826,5.2174,1.7391,13.913,3.4783,4.3478,28.6957
2016,16.6667,10.4167,23.75,8.75,3.3333,10.8333,0.8333,4.1667,21.25
2017,19.8745,10.4603,24.2678,7.9498,3.3473,8.5774,2.7197,1.6736,21.1297
2018,20.2629,10.4053,28.6966,7.3384,3.5049,5.6955,3.3954,2.4096,18.2913
2019,20.713,11.555,22.1266,9.4653,4.7941,4.4868,2.8273,2.5814,21.4505
2020,19.5889,14.1072,20.3144,6.3684,5.1995,5.6026,4.5949,3.1036,21.1205
2021,18.8512,14.9099,18.6679,6.7217,5.4384,5.194,4.308,3.5747,22.3342
2022,20.945,14.1987,17.7058,5.8208,4.6274,5.3093,4.2621,3.7263,23.4048
2023,19.4398,15.7983,14.8833,7.2269,5.4528,5.6396,3.9029,3.9776,23.6788
2024,17.3919,18.1999,12.9554,6.2651,5.9532,4.961,3.7562,3.5719,26.9454
2025,16.3929,18.4315,11.5362,6.1518,6.7034,5.7801,4.3051,3.7175,26.9817
