year,Aerospace Engineering,Agricultural Biotechnology,"Agriculture, Land and Farm Management",Allied Health and Rehabilitation Science,Analytical Chemistry,Animal Production,Anthropology,Applied Computing,Applied Economics,Applied Ethics,Applied Mathematics,Applied and Developmental Psychology,Archaeology,Architecture,Artificial Intelligence,Atmospheric Sciences,"Atomic, Molecular and Optical Physics","Banking, Finance and Investment",Biochemistry and Cell Biology,Bioinformatics and Computational Biology,Biological Psychology,Biomedical Engineering,Building,Business Systems In Context,Cardiovascular Medicine and Haematology,Chemical Engineering,Civil Engineering,Classical Physics,Climate Change Science,Clinical Sciences,Clinical and Health Psychology,Cognitive and Computational Psychology,Communications Engineering,Computer Vision and Multimedia Computation,"Control Engineering, Mechatronics and Robotics",Criminology,Cultural Studies,Curriculum and Pedagogy,Cybersecurity and Privacy,Data Management and Data Science,Demography,Dentistry,Design,Distributed Computing and Systems Software,Ecological Applications,Ecology,Econometrics,"Education Policy, Sociology and Philosophy",Education Systems,Electrical Engineering,"Electronics, Sensors and Digital Hardware",Environmental Engineering,Environmental Management,Epidemiology,Evolutionary Biology,Fluid Mechanics and Thermal Engineering,Food Sciences,Forestry Sciences,Gender Studies,Genetics,Geology,Geomatic Engineering,"Graphics, Augmented Reality and Games",Health Services and Systems,Historical Studies,Human Geography,Human Resources and Industrial Relations,Human-Centred Computing,Immunology,Industrial Biotechnology,Information Systems,Law In Context,Library and Information Studies,Linguistics,Machine Learning,Macromolecular and Materials Chemistry,Manufacturing Engineering,Marketing,Materials Engineering,Medical Biochemistry and Metabolomics,Medical Biotechnology,Medical Microbiology,Medical Physiology,Medical and Biological Physics,Medicinal and Biomolecular Chemistry,Microbiology,Midwifery,Neurosciences,Numerical and Computational Mathematics,Nursing,Nutrition and Dietetics,Oncology and Carcinogenesis,Ophthalmology and Optometry,Paediatrics,Pharmacology and Pharmaceutical Sciences,Physical Chemistry,Physical Geography and Environmental Geoscience,Policy and Administration,Political Science,Pollution and Contamination,Private Law and Civil Obligations,Public Health,Public Law,Pure Mathematics,Reproductive Medicine,Social Work,Social and Personality Psychology,Sociology,Software Engineering,Specialist Studies In Education,Sports Science and Exercise,Statistics,Theoretical and Computational Chemistry,Theory Of Computation,"Traditional, Complementary and Integrative Medicine","Transportation, Logistics and Supply Chains",Urban and Regional Planning,Veterinary Sciences,Zoology
2014,0.0,0.0,0.0,5.5556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7778,0.0,0.0,5.5556,0.0,0.0,0.0,0.0,19.4444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3333,0.0,0.0,0.0,0.0,0.0,2.7778,0.0,0.0,0.0,8.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3333,2.7778,5.5556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,3.4783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2174,0.0,0.0,0.0,1.7391,0.0,0.0,0.0,0.0,11.3043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8696,0.8696,0.0,0.0,0.0,0.8696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5217,0.0,0.0,0.0,0.0,0.0,14.7826,0.0,0.8696,0.0,4.3478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7391,0.0,0.8696,1.7391,3.4783,5.2174,0.8696,0.8696,0.0,0.8696,0.0,0.0,0.0,0.0,13.913,0.0,0.0,3.4783,0.0,2.6087,0.0,0.0,0.0,0.0,3.4783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.4167,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4167,0.0,0.0,0.0,0.0,0.0,0.0,0.4167,0.4167,8.75,0.0,0.0,0.0,3.3333,0.0,0.0,0.0,0.0,10.4167,0.4167,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.4167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6667,0.0,0.0,0.0,0.0,0.0,23.75,0.0,0.0,0.0,4.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4167,0.0,0.0,0.0,0.0,1.6667,0.4167,0.0,0.0,0.0,0.0,0.0,0.0,0.8333,0.0,0.0,1.6667,0.8333,2.5,0.0,0.8333,0.0,0.0,0.0,0.0,0.0,0.0,10.8333,0.0,0.0,2.5,0.0,1.6667,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.2092,0.0,0.2092,0.0,0.0,0.2092,0.2092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4184,7.9498,0.2092,0.0,0.0,3.3473,0.0,0.0,0.0,0.0,10.4603,1.2552,0.4184,0.0,0.2092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2092,0.2092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8745,0.0,0.0,0.0,0.0,0.0,24.2678,0.0,0.0,0.0,1.6736,0.0,0.2092,0.0,0.0,1.4644,0.0,0.0,0.0,0.0,0.0,0.4184,0.0,0.0,0.0,0.0,0.4184,0.0,0.2092,0.0,0.0,0.0,0.0,0.0,1.2552,0.0,0.0,3.5565,2.7197,0.8368,0.0,2.0921,0.0,0.0,0.0,0.0,0.2092,0.0,8.5774,0.0,0.0,0.4184,0.0,1.2552,0.0,0.0,0.0,0.2092,4.8117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.1095,0.0,0.3286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2191,0.0,0.0,0.0,0.0,0.0,0.0,0.3286,0.9858,7.3384,0.1095,0.0,0.0,3.5049,0.0,0.0,0.0,0.0,10.4053,0.3286,0.0,0.0,0.8762,0.0,0.0,0.0,0.0,0.0,0.1095,0.0,0.1095,0.0,0.1095,0.0,0.0,0.0,0.1095,0.0,0.0,0.0,0.0,0.0,20.2629,0.0,0.0,0.0,0.0,0.0,28.6966,0.0,0.0,0.2191,2.4096,0.0,0.0,0.0,0.0,0.7667,0.0,0.0,0.0,0.0,0.0,0.6572,0.0,0.0,0.0,0.0,0.3286,0.0,0.0,0.1095,0.2191,0.0,0.0,0.0,0.5476,0.0,0.0,1.862,3.3954,0.8762,0.1095,2.1906,0.0,0.0,0.1095,0.0,0.1095,0.0,5.6955,0.0,0.0,0.2191,0.0,0.3286,0.0,0.0,0.0,0.2191,5.586,0.0,0.0,0.0,0.0,0.0,0.1095,0.0
2019,0.0,0.0615,0.0,0.6761,0.0,0.0,0.0615,0.0,0.0,0.0,0.0,0.4302,0.0615,0.0,0.1229,0.0,0.0,0.0,0.3688,0.6146,9.4653,0.1844,0.0,0.0,4.7941,0.0,0.0,0.0,0.0,11.555,0.6761,0.1229,0.0,0.2459,0.0,0.0,0.0,0.0,0.0,0.1844,0.1229,0.1229,0.0,0.0615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.713,0.1229,0.0,0.0,0.0,0.0,22.1266,0.0,0.0,0.0615,2.5814,0.0615,0.1844,0.0,0.0,0.4917,0.0,0.0615,0.0,0.0,0.0,0.8605,0.0,0.0615,0.0,0.0,0.2459,0.0615,0.1229,0.1844,0.0,0.0,0.1229,0.1229,2.0283,0.0,0.0,1.8439,2.8273,1.721,0.0615,2.3356,0.0,0.0,0.0,0.0,0.0615,0.0,4.4868,0.0,0.0,0.7376,0.0615,0.8605,0.0,0.0615,0.0,0.0,4.7326,0.0,0.0,0.0,0.0,0.0615,0.0,0.0
2020,0.0,0.0403,0.0,0.2015,0.0,0.1612,0.0,0.0806,0.0403,0.0,0.0,0.0806,0.0,0.0,0.0,0.0,0.2015,0.0403,0.4434,0.8061,6.3684,0.1612,0.0,0.0,5.1995,0.0,0.0,0.0,0.0,14.1072,0.4434,0.2015,0.1612,0.1612,0.0,0.0,0.0,0.0403,0.0,0.2015,0.0806,0.1209,0.0,0.0403,0.0,0.0403,0.0,0.0,0.0,0.0,0.1209,0.0,0.0,19.5889,0.0403,0.0403,0.1612,0.0,0.0,20.3144,0.0,0.0,0.0403,3.1036,0.0,0.0806,0.1209,0.0,1.1689,0.0403,0.0,0.0,0.0806,0.0,0.9674,0.0,0.0,0.0,0.0,0.2418,0.0403,0.2418,0.2418,0.1612,0.0,0.2821,0.0403,2.2975,0.0,0.0806,3.1036,4.5949,1.0883,0.1612,1.3301,0.0,0.0,0.0,0.0,0.2015,0.0,5.6026,0.0,0.0,0.7658,0.0,0.0,0.0,0.0,0.0,0.2015,3.9903,0.0,0.0,0.0,0.0,0.0,0.0,0.0403
2021,0.0,0.0,0.0,0.3666,0.0306,0.1833,0.0306,0.0611,0.0611,0.0306,0.0306,0.0306,0.0306,0.0,0.0,0.0,0.0,0.0306,0.55,0.6111,6.7217,0.1528,0.0,0.0,5.4384,0.0,0.0,0.0,0.0,14.9099,0.3666,0.3361,0.0611,0.2444,0.0,0.0,0.0,0.0,0.0,0.0611,0.0611,0.1528,0.0,0.0611,0.0,0.0306,0.0,0.0306,0.0306,0.0611,0.0611,0.0,0.0,18.8512,0.0306,0.0306,0.2444,0.0,0.0,18.6679,0.0306,0.0,0.0917,3.5747,0.0,0.0917,0.1222,0.1833,1.161,0.0,0.0,0.0,0.0,0.0,0.7944,0.0,0.0,0.0,0.0,0.6722,0.0611,0.2139,0.1528,0.0917,0.0306,0.1222,0.0611,2.6276,0.0306,0.0917,2.8414,4.308,1.3749,0.275,1.7415,0.0,0.0,0.0,0.0,0.0917,0.0,5.194,0.0,0.0306,0.9777,0.0306,0.1222,0.0,0.0,0.0,0.1833,3.8191,0.0,0.0,0.0,0.0611,0.0611,0.0306,0.0
2022,0.0,0.0,0.0,0.1705,0.0974,0.0244,0.0731,0.0731,0.0244,0.0244,0.0,0.2679,0.0487,0.0244,0.0,0.0,0.0,0.0244,0.5114,0.8281,5.8208,0.1705,0.0,0.0,4.6274,0.0,0.0,0.0244,0.0,14.1987,0.6332,0.2679,0.0244,0.2192,0.0,0.0,0.0,0.0,0.0,0.0487,0.0487,0.1218,0.0,0.0,0.0,0.0,0.0244,0.0,0.0,0.0,0.0,0.0,0.0,20.945,0.0,0.0,0.0487,0.0,0.0,17.7058,0.0,0.0,0.2679,3.7263,0.0,0.1705,0.0487,0.0244,0.9255,0.0,0.0487,0.0,0.0,0.0,1.1203,0.0,0.0,0.0,0.0,1.2664,0.0487,0.2192,0.3166,0.0731,0.0,0.1218,0.0731,2.9469,0.0,0.0244,3.0443,4.2621,1.4369,0.0731,1.583,0.0,0.0,0.0244,0.0,0.5114,0.0,5.3093,0.0,0.0,0.6576,0.0244,0.3653,0.0,0.0,0.0244,0.1461,3.9211,0.0,0.0,0.0,0.0,0.0,0.0244,0.0487
2023,0.0,0.0187,0.0187,0.1867,0.112,0.0373,0.0747,0.0187,0.0373,0.0,0.0,0.1867,0.0373,0.0,0.0187,0.0,0.056,0.0,0.7096,0.6723,7.2269,0.0934,0.0,0.0,5.4528,0.0,0.0,0.0,0.0,15.7983,0.4108,0.1867,0.0934,0.2614,0.0,0.0,0.0,0.0,0.0187,0.0934,0.0373,0.4482,0.0,0.0,0.0,0.0187,0.0747,0.0,0.0,0.0,0.0747,0.0,0.0187,19.4398,0.0187,0.0187,0.056,0.0,0.0373,14.8833,0.0,0.0,0.2614,3.9776,0.0,0.112,0.056,0.056,1.2512,0.0,0.0187,0.0187,0.0,0.0,0.8964,0.0,0.0,0.0,0.0,1.1951,0.056,0.1494,0.2054,0.056,0.0934,0.1307,0.0187,3.9216,0.0,0.0,2.9879,3.9029,1.5126,0.1307,1.662,0.0,0.0,0.0187,0.0,0.4669,0.0,5.6396,0.0,0.0,0.6349,0.0,0.3548,0.0187,0.0,0.0187,0.1307,3.0812,0.0,0.0,0.0,0.0,0.0,0.0,0.0187
