category,share_2014_%,share_2025_%,rank_2014,rank_2025,delta_pp,rank_change
Genetics,0.98,7.71,31,2,6.73,29
Human Genome,0.98,5.21,32,3,4.23,29
Prevention,4.01,7.85,7,1,3.84,6
Heart Disease,0.0,2.62,142,11,2.62,131
Cardiovascular,2.03,4.18,17,6,2.15,11
Aging,2.86,4.32,9,5,1.46,4
Biomedical Imaging,0.0,1.29,73,24,1.29,49
Health Disparities and Racial or Ethnic Minority Health Research,1.06,2.02,28,12,0.96,16
Cancer,0.75,1.68,37,14,0.93,23
Women's Health,2.19,2.87,14,9,0.68,5
Diabetes,1.02,1.51,30,19,0.49,11
Neurosciences,5.06,3.16,4,7,-1.9,-3
Behavioral and Social Science,3.93,1.9,8,13,-2.03,-5
Brain Disorders,5.22,2.94,3,8,-2.28,-5
Obesity,4.37,1.56,6,16,-2.81,-10
Mental Health,4.59,1.41,5,21,-3.18,-16
Nutrition,6.15,2.8,2,10,-3.35,-8
Clinical Research,12.21,4.55,1,4,-7.66,-3
