figure,panel,caption
main,A,"Annual composition of UK Biobank research by Fields of Research 2020 Level 4, 2013–2025. Papers count once in each assigned field; percentages use all paper–field assignments in each year as the denominator. The eight leading fields by total assignment count are shown separately; white pools the remainder."
main,B,"Annual Research, Condition and Disease Categorisation (RCDC) composition. Each classified paper contributes a total weight of one, divided equally across its distinct tags. Shares are fractions of classified papers, with the eight leading tags displayed separately and remaining tags pooled in white."
main,C,"Topic composition from cached BERTopic assignments. Band thickness shows the annual shares of all topic-assigned publications attributable to the selected leading topics. The zero-based percentage axis shows their combined share; the selected topics are not rescaled to 100%. Topics are selected using total publication counts across the analysis window, with up to twelve shown. Descriptive labels summarise model keywords and example publications."
si_category_detail,A,"Annual shares of the twelve leading FOR Level 4 fields, ranked by total paper–field assignments across the analysis window. Each paper counts once per assigned field; yearly shares sum to 100% across the full vocabulary."
si_category_detail,B,"Annual shares of the twelve leading RCDC tags, using fractional assignment across each paper's tags. Cells are annotated as percentages; grey denotes years with no classified publications. Colour scales span each panel's observed range."
si_rank_flow,A,Annual rank trajectories for the leading FOR Level 4 fields shown in the main composition figure. Line width is proportional to mean annual share.
si_rank_flow,B,Annual rank trajectories for the leading fractionally weighted RCDC categories shown in the main composition figure.
si_coverage,A,Percentage of dated publications carrying at least one classification or a non-outlier topic assignment. Coverage uses the full yearly corpus as denominator.
si_coverage,B,"Effective number of categories, calculated as the exponential of Shannon entropy from each vocabulary's annual composition shares."
si_coverage,C,Number of distinct categories represented among each year's publications.
si_coverage,D,Cumulative number of distinct categories observed. Vocabularies differ in granularity and are presented separately; their category counts are not equivalent units.
si_topic_robustness,A,Topic coherence (c_v) for every successful random-seed fit within each parameter setting. Points show seeds and red bars their means.
si_topic_robustness,B,"Topic counts from the same fits. Cream shading in A–C identifies the selected parameter setting, chosen using the recorded quality and stability score."
si_topic_robustness,C,Adjusted Rand index and normalised mutual information for every pair of seed-specific assignment vectors; solid lines show the corresponding means.
si_topic_robustness,D,Cluster persistence against cluster size for the final selected HDBSCAN model. Sizes and persistence are matched using original HDBSCAN cluster IDs before outlier reassignment; the dashed line denotes median persistence.
