year,Genetics,Prevention,Human Genome,Clinical Research,Aging,Cardiovascular,Neurosciences,Brain Disorders,Nutrition,Women's Health,Heart Disease,Behavioral and Social Science,All other categories
2014,0.9783,4.0133,0.9783,12.2119,2.8589,2.0257,5.0605,5.216,6.1491,2.1946,0.0,3.9289,54.3847
2015,8.5708,4.799,5.1809,7.607,3.324,0.5508,3.2109,3.8317,4.1647,2.6534,0.339,3.4962,52.2716
2016,11.1984,7.2311,8.5564,6.2144,3.666,2.9262,3.507,2.676,2.9825,1.9437,1.7712,4.1687,43.1583
2017,13.4694,6.7617,9.7392,5.4254,2.8447,3.0438,2.0604,2.2903,3.7198,1.6829,2.257,2.7508,43.9546
2018,14.0888,6.5939,11.1391,4.1156,2.8406,3.6899,3.3052,2.7039,2.589,1.857,2.6126,2.2175,42.247
2019,14.0493,6.1397,10.8447,3.9785,3.2222,3.7259,3.0883,3.2841,1.8231,1.8938,2.5378,2.3648,43.0477
2020,12.1914,6.4115,9.3964,4.1974,3.0413,3.1092,2.9854,2.6095,2.1593,2.0351,2.1458,1.8386,47.8791
2021,11.5005,6.5279,8.5345,4.0084,3.48,3.5182,2.9625,3.036,2.1015,2.1108,2.339,2.0173,47.8634
2022,10.848,6.9724,7.7336,3.9082,3.4692,3.3678,3.2547,2.799,2.3827,2.2612,2.3509,1.8677,48.7845
2023,9.5217,6.9627,6.8119,3.9046,3.9692,3.8941,3.2376,3.03,2.339,2.5056,2.5476,1.8252,49.4509
2024,9.0884,7.3948,6.342,4.1586,4.2919,3.7399,3.1902,2.9276,2.6809,2.5983,2.446,1.7916,49.3497
2025,7.7063,7.851,5.2147,4.5513,4.3164,4.1834,3.1566,2.9445,2.7961,2.8715,2.6178,1.8972,49.8931
