rcdc_tag,papers
Brain Disorders,6879
Cardiovascular,6410
Heart Disease,4396
Neurodegenerative,3563
Mental Health,3331
Cancer,3080
Obesity,2808
Acquired Cognitive Impairment,2439
Diabetes,2432
Dementia,2344
Digestive Diseases,2311
Mental Illness,2067
Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),2028
Heart Disease - Coronary Heart Disease,1822
Alzheimer's Disease,1707
Depression,1671
Atherosclerosis,1545
Lung,1523
Cerebrovascular,1377
Serious Mental Illness,1242
Autoimmune Disease,1094
Infectious Diseases,1082
Liver Disease,987
Kidney Disease,931
Substance Misuse,852
Eye Disease and Disorders of Vision,766
Emerging Infectious Diseases,711
Alzheimer's Disease Related Dementias (ADRD),710
Hypertension,705
Stroke,678
Chronic Liver Disease and Cirrhosis,630
Breast Cancer,606
Coronaviruses,605
Arthritis,599
Chronic Pain,579
Vascular Cognitive Impairment/Dementia,542
"Alcoholism, Alcohol Use and Health",540
Schizophrenia,523
Major Depressive Disorder,500
Urologic Diseases,497
Coronaviruses Disparities and At-Risk Populations,470
Colo-Rectal Cancer,462
Lung Cancer,417
Inflammatory Bowel Disease,329
Osteoporosis,324
Parkinson's Disease,319
Bipolar Disorder,304
Prostate Cancer,283
Chronic Obstructive Pulmonary Disease,280
Anxiety Disorders,278
Asthma,264
Crohn's Disease,254
Osteoarthritis,233
Perinatal Period - Conditions Originating in Perinatal Period,224
Rheumatoid Arthritis,224
Physical Injury - Accidents and Adverse Effects,223
Dental/Oral and Craniofacial Disease,216
Hepatitis,183
Childhood Obesity,179
Liver Cancer,177
Sarcopenia,165
Intellectual and Developmental Disabilities (IDD),149
Macular Degeneration,141
Pancreatic Cancer,138
Infertility,127
Multiple Sclerosis,124
Psoriasis,124
Ovarian Cancer,122
Drug Abuse (NIDA only),113
Hearing Loss,107
Post-Traumatic Stress Disorder (PTSD),106
Sepsis,105
Headaches,99
Maternal Morbidity and Mortality,99
Autism,97
Lymphatic Research,95
Suicide,92
Migraines,92
Congenital Structural Anomalies,91
Peripheral Neuropathy,89
Pediatric Cardiomyopathy,85
Pneumonia & Influenza,85
Lymphoma,83
Congenital Heart Disease,82
Childhood Injury,74
Attention Deficit Hyperactivity Disorder (ADHD),73
Uterine Cancer,71
ALS,69
Epilepsy,67
Lupus,67
Coronaviruses Therapeutics and Interventions,62
Conditions Affecting the Embryonic and Fetal Periods,58
Eczema / Atopic Dermatitis,57
Pneumonia,54
Post-Acute Sequelae of SARS-CoV-2 infection (PASC) including Long COVID,52
Endometriosis,48
Brain Cancer,45
Eating Disorders,42
Opioids,35
Pediatric Cancer,35
Underage Drinking,34
Anorexia,33
Sexually Transmitted Infections,30
Stomach Cancer,30
Traumatic Head and Spine Injury,29
Cervical Cancer,29
Lewy Body Dementia,29
Influenza,29
Back Pain,28
Coronaviruses Vaccines,28
Pulmonary Fibrosis,28
Chronic Fatigue Syndrome (ME/CFS),27
Digestive Diseases - (Gallbladder),26
Opioid Misuse and Addiction,24
Polycystic Ovary Syndrome (PCOS),23
Esophageal Cancer,21
Frontotemporal Dementia (FTD),21
Traumatic Brain Injury (TBI),20
Childhood Leukemia,20
Coronaviruses Diagnostics and Prognostics,20
HIV/AIDS,19
Digestive Diseases - (Peptic Ulcer),15
Hepatitis - C,14
Cystic Fibrosis,13
Polycystic Kidney Disease,13
Sickle Cell Disease,12
Fibromyalgia,12
Fibroid Tumors (Uterine),12
Emphysema,12
Allergic Rhinitis (Hay Fever),11
Vector-Borne Diseases,11
Pulmonary Hypertension,11
Tuberculosis,10
Dystonia,8
Myasthenia Gravis,8
Hepatitis - B,6
Spinal Cord Injury,6
Temporomandibular Muscle/Joint Disorder (TMJD),6
Food Allergies,6
Huntington's Disease,6
Scleroderma,6
Prescription Drug Abuse,5
Fragile X Syndrome,5
Hodgkin's Disease,5
Foodborne Illness,5
Neurofibromatosis,4
West Nile Virus,4
Osteogenesis Imperfecta,4
Acute Respiratory Distress Syndrome,4
Neuroblastoma,4
Malaria,4
Down Syndrome,3
Antimicrobial Resistance,3
Celiac Disease,3
Cachexia,3
Tourette Syndrome,2
Tuberous Sclerosis,2
Spinal Muscular Atrophy,2
Muscular Dystrophy,2
Cerebral Palsy,2
Hydrocephalus,2
Ataxia Telangiectasia,2
HPV and/or Cervical Cancer Vaccines,1
Fetal Alcohol Spectrum Disorders (FASD),1
Vaccine Related (AIDS),1
Nanotechnology,1
Charcot-Marie-Tooth Disease,1
Stimulant Use and Misuse,1
Aphasia,1
Otitis Media,1
Sudden Infant Death Syndrome,1
Lead Poisoning,1
Myotonic Dystrophy,1
Tickborne Diseases,1
Lyme Disease,1
Rett Syndrome,1
Duchenne/ Becker Muscular Dystrophy,1
Small Pox,1
Lymphedema,1
