l4_code,l4_label,corpus_pairs,code,for_label,api_pairs,diff
4202,Epidemiology,6274,4202,Epidemiology,6256.0,18.0
3202,Clinical Sciences,5459,3202,Clinical Sciences,5458.0,1.0
3105,Genetics,5327,3105,Genetics,5321.0,6.0
5202,Biological Psychology,2245,5202,Biological Psychology,2244.0,1.0
3201,Cardiovascular Medicine and Haematology,1904,3201,Cardiovascular Medicine and Haematology,1904.0,0.0
4206,Public Health,1869,4206,Public Health,1864.0,5.0
3211,Oncology and Carcinogenesis,1359,3211,Oncology and Carcinogenesis,1359.0,0.0
4203,Health Services and Systems,1209,4203,Health Services and Systems,1207.0,2.0
4905,Statistics,1140,4905,Statistics,1136.0,4.0
3209,Neurosciences,1114,3209,Neurosciences,1114.0,0.0
3210,Nutrition and Dietetics,1112,3210,Nutrition and Dietetics,1112.0,0.0
3212,Ophthalmology and Optometry,551,3212,Ophthalmology and Optometry,550.0,1.0
3214,Pharmacology and Pharmaceutical Sciences,543,3214,Pharmacology and Pharmaceutical Sciences,543.0,0.0
3205,Medical Biochemistry and Metabolomics,483,3205,Medical Biochemistry and Metabolomics,483.0,0.0
3204,Immunology,395,3204,Immunology,395.0,0.0
3101,Biochemistry and Cell Biology,296,3101,Biochemistry and Cell Biology,295.0,1.0
4611,Machine Learning,293,4611,Machine Learning,292.0,1.0
3215,Reproductive Medicine,270,3215,Reproductive Medicine,268.0,2.0
3102,Bioinformatics and Computational Biology,241,3102,Bioinformatics and Computational Biology,241.0,0.0
5203,Clinical and Health Psychology,180,5203,Clinical and Health Psychology,180.0,0.0
4105,Pollution and Contamination,150,4105,Pollution and Contamination,146.0,4.0
5204,Cognitive and Computational Psychology,108,5204,Cognitive and Computational Psychology,107.0,1.0
4201,Allied Health and Rehabilitation Science,100,4201,Allied Health and Rehabilitation Science,100.0,0.0
3203,Dentistry,86,3203,Dentistry,86.0,0.0
4003,Biomedical Engineering,85,4003,Biomedical Engineering,85.0,0.0
5205,Social and Personality Psychology,83,5205,Social and Personality Psychology,83.0,0.0
3208,Medical Physiology,79,3208,Medical Physiology,79.0,0.0
4603,Computer Vision and Multimedia Computation,75,4603,Computer Vision and Multimedia Computation,75.0,0.0
5201,Applied and Developmental Psychology,62,5201,Applied and Developmental Psychology,62.0,0.0
4207,Sports Science and Exercise,59,4207,Sports Science and Exercise,59.0,0.0
3207,Medical Microbiology,58,3207,Medical Microbiology,58.0,0.0
3006,Food Sciences,52,3006,Food Sciences,52.0,0.0
3107,Microbiology,51,3107,Microbiology,51.0,0.0
4607,"Graphics, Augmented Reality and Games",47,4607,"Graphics, Augmented Reality and Games",47.0,0.0
3213,Paediatrics,44,3213,Paediatrics,44.0,0.0
4605,Data Management and Data Science,34,4605,Data Management and Data Science,34.0,0.0
3404,Medicinal and Biomolecular Chemistry,32,3404,Medicinal and Biomolecular Chemistry,31.0,1.0
4406,Human Geography,29,4406,Human Geography,29.0,0.0
5105,Medical and Biological Physics,24,5105,Medical and Biological Physics,24.0,0.0
4601,Applied Computing,23,4601,Applied Computing,23.0,0.0
3401,Analytical Chemistry,23,3401,Analytical Chemistry,23.0,0.0
3003,Animal Production,23,3003,Animal Production,23.0,0.0
3206,Medical Biotechnology,22,3206,Medical Biotechnology,22.0,0.0
4608,Human-Centred Computing,18,4608,Human-Centred Computing,18.0,0.0
3505,Human Resources and Industrial Relations,16,3505,Human Resources and Industrial Relations,16.0,0.0
4401,Anthropology,16,4401,Anthropology,16.0,0.0
