author_key,author_name,researcher_id,showcase_paper_count,fractional_paper_credit,total_dataset_citations,fractional_citation_credit,mean_dataset_citations,median_dataset_citations,mean_field_citation_ratio,mean_impact_metric,median_impact_metric,top_decile_credit,above_median_credit,top_decile_measured_papers,fractional_top_decile_credit,first_author_paper_count,last_author_paper_count,leadership_author_credit,first_year,last_year,showcase_h_index,showcase_i10_index,active_span_years,leadership_share,top_decile_share,entry_cohort,ukb_influence_score,x_papers,y_impact,bubble_size,colour_value,y_impact_plot
ur.0641770103.91,Rory Collins,ur.0641770103.91,49,3.1143705780805147,25412.0,1612.7807717976343,518.6122448979592,26.0,110.68232558139535,23.721565062149242,2.969555740613346,25.5,35.5,47,1.2638109175682122,0,5,5,2015,2025,25,34,11,0.10204081632653061,0.5425531914893617,"2015–2017
foundational entrants",98.63374388125692,49.0,23.721565062149242,80.0,0.10204081632653061,23.721565062149242
ur.01371335603.13,Peter Donnelly,ur.01371335603.13,18,1.747667062040127,11833.0,698.97499316473,657.3888888888889,88.0,124.635,27.048915761267025,3.856398320820453,10.0,13.5,18,1.0567237947810704,0,6,6,2016,2025,12,12,10,0.3333333333333333,0.5555555555555556,"2015–2017
foundational entrants",98.43807944779049,18.0,27.048915761267025,58.49742261192856,0.3333333333333333,25.7806882318033
ur.014132776271.93,Adrian Cortes,ur.014132776271.93,22,2.0159422878463125,11952.0,650.1853722258134,543.2727272727273,16.0,91.86,22.819084791915245,1.2976980118039523,8.0,15.333333333333334,21,0.5476559989717884,4,1,5,2016,2025,12,12,10,0.22727272727272727,0.38095238095238093,"2015–2017
foundational entrants",98.24593399652615,22.0,22.819084791915245,58.49742261192856,0.22727272727272727,22.819084791915245
ur.012100033157.47,Lloyd T. Elliott,ur.012100033157.47,17,1.6046806945682128,12610.0,823.5960459779317,741.7647058823529,39.0,124.598125,28.63812010698347,3.3381177503719397,9.0,13.0,17,0.8319182160828428,2,2,4,2017,2025,11,12,9,0.23529411764705882,0.5294117647058824,"2015–2017
foundational entrants",98.22867744918906,17.0,28.63812010698347,56.4327470649756,0.23529411764705882,25.7806882318033
ur.0627601545.87,Paul M. Matthews,ur.0627601545.87,61,5.964912037890661,22293.0,1165.9682313912954,365.4590163934426,32.0,79.50056603773585,16.520300212021663,2.566997195696402,28.666666666666668,41.0,56,1.8203867031799041,1,10,11,2015,2025,31,39,11,0.18032786885245902,0.511904761904762,"2015–2017
foundational entrants",98.16919311542713,61.0,16.520300212021663,87.9487010796203,0.18032786885245902,16.520300212021663
ur.01225067535.64,Olivier Delaneau,ur.01225067535.64,30,4.280383824832868,13899.0,907.6100257070686,463.3,13.0,89.515,18.10512849512784,1.9183034399767593,14.333333333333334,23.0,30,1.631534163016923,4,12,16,2015,2025,15,16,11,0.5333333333333333,0.4777777777777778,"2015–2017
foundational entrants",98.16199724797546,30.0,18.10512849512784,64.22176684690385,0.5333333333333333,18.10512849512784
ur.014735204720.83,Jonathan Marchini,ur.014735204720.83,54,5.911600206758088,21484.0,1206.499822324342,397.85185185185185,26.0,66.83510204081632,16.32950432279538,2.9430894102870457,30.0,40.5,53,2.6450168665947134,0,15,15,2015,2025,26,33,11,0.2777777777777778,0.5660377358490566,"2015–2017
foundational entrants",98.15462091989805,54.0,16.32950432279538,81.38627319029898,0.2777777777777778,16.32950432279538
ur.0577003004.68,Naomi Allen,ur.0577003004.68,102,12.215923374821577,34327.0,2283.7945018927257,336.53921568627453,21.5,66.1191489361702,15.102137111264257,1.570922001894309,38.5,71.0,99,3.574779465626196,3,21,24,2015,2025,38,65,11,0.23529411764705882,0.3888888888888889,"2015–2017
foundational entrants",98.13014594753108,102.0,15.102137111264257,96.30179604156567,0.23529411764705882,15.102137111264257
ur.010254226477.98,Cathie Sudlow,ur.010254226477.98,70,6.227241009647167,26983.0,1665.6371555188493,385.4714285714286,38.5,70.84666666666666,15.084451263450605,2.409148558477825,34.166666666666664,52.833333333333336,66,2.471749403584203,1,18,19,2015,2025,35,49,11,0.2714285714285714,0.5176767676767676,"2015–2017
foundational entrants",98.10898693916221,70.0,15.084451263450605,92.82511696339462,0.2714285714285714,15.084451263450605
ur.01215063233.82,Christian Benner,ur.01215063233.82,24,1.809263486755313,7828.0,337.9705658654868,326.1666666666667,86.5,73.23681818181818,22.014203692624744,5.766376742742208,15.5,21.166666666666668,24,0.8607865251204565,3,0,3,2017,2025,17,18,9,0.125,0.6458333333333334,"2015–2017
foundational entrants",98.04153978028918,24.0,22.014203692624744,67.72347875864725,0.125,22.014203692624744
