author_name,showcase_paper_count,mean_impact_metric,showcase_h_index,leadership_share,ukb_influence_score
Rory Collins,49,23.721565062149242,25,0.10204081632653061,98.63374388125692
Peter Donnelly,18,27.048915761267025,12,0.3333333333333333,98.43807944779049
Adrian Cortes,22,22.819084791915245,12,0.22727272727272727,98.24593399652615
Lloyd T. Elliott,17,28.63812010698347,11,0.23529411764705882,98.22867744918906
Paul M. Matthews,61,16.520300212021663,31,0.18032786885245902,98.16919311542713
Olivier Delaneau,30,18.10512849512784,15,0.5333333333333333,98.16199724797546
Jonathan Marchini,54,16.32950432279538,26,0.2777777777777778,98.15462091989805
Naomi Allen,102,15.102137111264257,38,0.23529411764705882,98.13014594753108
Kari Stefansson,165,11.301849598219476,69,0.2787878787878788,97.66421916942998
Nicholas J. Wareham,155,11.400041825131195,70,0.04516129032258064,97.61163745460287
Naveed Sattar,184,8.317484152409781,71,0.16847826086956522,97.0129818862647
Ian J. Deary,211,6.183102847467599,70,0.1943127962085308,96.14160519726602
Patrick T. Ellinor,220,6.37044685335642,52,0.14545454545454545,96.1192731948298
Pradeep Natarajan,224,6.038226584888271,56,0.44642857142857145,96.03802079808712
