author_name,ukb_influence_score,showcase_paper_count,fractional_paper_credit,fractional_citation_credit,showcase_h_index,mean_impact_metric,fractional_top_decile_credit,leadership_share,active_span_years
Rory Collins,98.63374388125692,49,3.1143705780805147,1612.7807717976343,25,23.721565062149242,1.2638109175682122,0.10204081632653061,11
Peter Donnelly,98.43807944779049,18,1.747667062040127,698.97499316473,12,27.048915761267025,1.0567237947810704,0.3333333333333333,10
Adrian Cortes,98.24593399652615,22,2.0159422878463125,650.1853722258134,12,22.819084791915245,0.5476559989717884,0.22727272727272727,10
Lloyd T. Elliott,98.22867744918906,17,1.6046806945682128,823.5960459779317,11,28.63812010698347,0.8319182160828428,0.23529411764705882,9
Paul M. Matthews,98.16919311542713,61,5.964912037890661,1165.9682313912954,31,16.520300212021663,1.8203867031799041,0.18032786885245902,11
Olivier Delaneau,98.16199724797546,30,4.280383824832868,907.6100257070686,15,18.10512849512784,1.631534163016923,0.5333333333333333,11
Jonathan Marchini,98.15462091989805,54,5.911600206758088,1206.499822324342,26,16.32950432279538,2.6450168665947134,0.2777777777777778,11
Naomi Allen,98.13014594753108,102,12.215923374821577,2283.7945018927257,38,15.102137111264257,3.574779465626196,0.23529411764705882,11
Cathie Sudlow,98.10898693916221,70,6.227241009647167,1665.6371555188493,35,15.084451263450605,2.471749403584203,0.2714285714285714,11
Christian Benner,98.04153978028918,24,1.809263486755313,337.9705658654868,17,22.014203692624744,0.8607865251204565,0.125,9
Jian Yang,97.93001511357741,90,8.498274696801646,1434.2179801062423,47,13.346700661835268,4.283560371355656,0.25555555555555554,10
Gil McVean,97.90651011707384,30,4.053662044247344,756.3364644203347,15,16.448263913444514,1.0044196200049194,0.3333333333333333,10
Hyun Min Kang,97.8892986848932,27,1.5796805407058043,215.2899150361914,18,20.136172347074368,0.31562456743930467,0.14814814814814814,9
Danielle Posthuma,97.86543276713813,70,6.144406409751985,409.3130992994932,36,13.424433794174268,1.5457233671152522,0.2714285714285714,10
Peter M. Visscher,97.83457400013535,106,9.698647795498172,1642.4165842473735,50,12.253099850813525,5.8459410368807765,0.2641509433962264,11
Matthew Traylor,97.7659989623514,31,2.9205263578950946,257.5935631399293,21,15.429173898365738,1.400330860157946,0.1935483870967742,11
Yang Wu,97.75681802801653,22,1.622814206515851,355.98411217707877,17,21.367107897236615,0.9441030625873159,0.13636363636363635,8
Paul Elliott,97.73739595317046,80,5.919748444380522,1045.3632718779172,45,12.046075984412212,2.721097288388069,0.125,11
Emanuele Di Angelantonio,97.71736482371254,90,4.49459548592362,458.55316697367476,42,12.757363063655735,1.6764061690036873,0.07777777777777778,11
Joanna M. M. Howson,97.69494259096344,46,1.7463076115995386,205.73640023983003,30,13.858130660777615,0.995254009331719,0.1956521739130435,9
Yukinori Okada,97.69365680900499,57,3.406854968274228,261.7013547130633,34,13.483034032372666,1.2718365436842474,0.3333333333333333,8
James J. Lee,97.68242313505222,11,0.5915040202381552,165.80678733348694,10,24.70329952454638,0.2581706869048219,0.2727272727272727,8
John Gallacher,97.66751257584986,74,10.820963935118394,1142.6811077942725,34,11.370158312710801,2.811568020918724,0.1891891891891892,11
Kari Stefansson,97.66421916942998,165,3.898507892102968,450.1915117543977,69,11.301849598219476,1.9947409521283497,0.2787878787878788,10
