field,year,top_decile_cites,median_cites,mean_cites,median_achieved_pct,median_measured
Biological Psychology,2016,72.0,12.0,30.21,48.89,True
Biological Psychology,2017,64.0,9.0,26.84,48.88,True
Biological Psychology,2018,61.0,10.0,26.17,49.32,True
Biological Psychology,2019,52.0,7.0,21.27,49.22,True
Biological Psychology,2020,45.0,8.0,19.15,48.0,True
Biological Psychology,2021,36.0,6.0,14.58,48.42,True
Biological Psychology,2022,28.0,5.0,11.36,47.64,True
Biological Psychology,2023,20.0,3.0,7.84,47.96,True
Biological Psychology,2024,14.0,3.0,5.33,43.23,True
Biological Psychology,2025,7.0,1.0,2.21,49.03,True
Cardiovascular Medicine and Haematology,2017,36.0,2.0,15.49,49.56,True
Cardiovascular Medicine and Haematology,2018,33.0,2.0,13.52,47.67,True
Cardiovascular Medicine and Haematology,2019,29.0,2.0,12.36,48.22,True
Cardiovascular Medicine and Haematology,2020,28.0,3.0,12.18,45.02,True
Cardiovascular Medicine and Haematology,2021,23.0,2.0,9.3,49.32,True
Cardiovascular Medicine and Haematology,2022,18.0,2.0,7.03,44.81,True
Cardiovascular Medicine and Haematology,2023,13.0,2.0,4.96,37.85,True
Cardiovascular Medicine and Haematology,2024,9.0,1.0,3.34,47.05,True
Cardiovascular Medicine and Haematology,2025,5.0,1.0,1.45,34.77,True
Clinical Sciences,2015,52.0,5.0,20.94,49.68,True
Clinical Sciences,2016,48.0,5.0,19.74,48.38,True
Clinical Sciences,2017,45.0,5.0,18.42,46.91,True
Clinical Sciences,2018,41.0,4.0,17.12,49.43,True
Clinical Sciences,2019,37.0,4.0,15.27,48.14,True
Clinical Sciences,2020,36.0,4.0,16.64,49.89,True
Clinical Sciences,2021,27.0,4.0,11.32,46.52,True
Clinical Sciences,2022,21.0,3.0,8.41,47.01,True
Clinical Sciences,2023,16.0,2.0,6.11,47.95,True
Clinical Sciences,2024,11.0,2.0,3.94,41.43,True
Clinical Sciences,2025,5.0,1.0,1.69,41.76,True
Epidemiology,2015,63.0,6.0,33.44,48.66,True
Epidemiology,2016,59.0,6.0,29.11,48.92,True
Epidemiology,2017,65.0,8.0,30.4,49.26,True
Epidemiology,2018,53.0,5.0,25.45,47.61,True
Epidemiology,2019,58.0,8.0,28.88,49.25,True
Epidemiology,2020,54.0,7.0,27.79,48.84,True
Epidemiology,2021,43.0,7.0,25.57,47.2,True
Epidemiology,2022,34.0,6.0,14.79,47.04,True
Epidemiology,2023,26.0,5.0,11.5,45.38,True
Epidemiology,2024,16.0,3.0,6.72,46.43,True
Epidemiology,2025,8.0,2.0,2.9,39.06,True
Genetics,2015,81.0,14.0,42.02,48.28,True
Genetics,2016,74.0,13.0,38.68,48.53,True
Genetics,2017,71.0,12.0,34.19,50.0,True
Genetics,2018,65.0,11.0,33.15,49.01,True
Genetics,2019,57.0,10.0,27.92,47.73,True
Genetics,2020,47.0,9.0,22.05,47.24,True
Genetics,2021,37.0,7.0,17.42,47.18,True
Genetics,2022,28.0,6.0,12.98,46.97,True
Genetics,2023,22.0,4.0,9.73,49.78,True
Genetics,2024,15.0,3.0,6.02,47.4,True
Genetics,2025,7.0,2.0,2.6,38.0,True
Health Services and Systems,2016,47.0,6.0,19.92,48.82,True
Health Services and Systems,2018,40.0,5.0,16.55,48.13,True
Health Services and Systems,2019,38.0,5.0,15.66,48.13,True
Health Services and Systems,2020,36.0,5.0,16.34,47.68,True
Health Services and Systems,2021,29.0,4.0,11.98,49.56,True
Health Services and Systems,2022,22.0,3.0,8.48,49.31,True
Health Services and Systems,2023,16.0,3.0,6.24,42.3,True
Health Services and Systems,2024,11.0,2.0,3.95,42.91,True
Health Services and Systems,2025,5.0,1.0,1.72,42.34,True
Oncology and Carcinogenesis,2017,61.0,7.0,27.45,49.81,True
Oncology and Carcinogenesis,2018,57.0,6.0,26.07,49.88,True
Oncology and Carcinogenesis,2019,52.0,6.0,23.05,47.89,True
Oncology and Carcinogenesis,2020,47.0,6.0,20.76,49.84,True
Oncology and Carcinogenesis,2021,39.0,6.0,17.63,47.64,True
Oncology and Carcinogenesis,2022,30.0,4.0,12.86,49.1,True
Oncology and Carcinogenesis,2023,23.0,3.0,9.36,47.31,True
Oncology and Carcinogenesis,2024,16.0,2.0,6.32,48.41,True
Oncology and Carcinogenesis,2025,8.0,1.0,2.67,48.24,True
Public Health,2015,61.0,8.0,26.07,49.94,True
Public Health,2016,57.0,8.0,25.03,49.38,True
Public Health,2017,57.0,8.0,25.03,49.52,True
Public Health,2018,49.0,7.0,21.37,47.69,True
Public Health,2019,45.0,7.0,19.45,47.56,True
Public Health,2020,44.0,7.0,20.14,47.64,True
Public Health,2021,36.0,6.0,15.58,49.81,True
Public Health,2022,27.0,5.0,11.2,48.27,True
Public Health,2023,20.0,4.0,7.98,44.01,True
Public Health,2024,13.0,2.0,5.01,48.8,True
Public Health,2025,6.0,1.0,2.09,48.44,True
