label,ukbb@2025,ukbb_%/yr,ukbb_accel_pp,world_%/yr,activity_x
Medical Biochemistry and Metabolomics,200.0,73.6,-8.5,12.6,3.8
Biomedical Engineering,35.0,62.7,13.1,7.4,9.4
Biochemistry and Cell Biology,112.0,57.9,,2.2,0.2
Clinical and Health Psychology,49.0,42.2,23.2,6.2,0.2
Neurosciences,329.0,39.9,-54.7,2.2,2.2
Cognitive and Computational Psychology,39.0,37.2,-15.9,5.1,0.3
Ophthalmology and Optometry,159.0,37.1,-46.0,2.4,1.3
Nutrition and Dietetics,308.0,34.9,-18.0,6.0,3.4
Bioinformatics and Computational Biology,66.0,34.8,-43.0,0.9,0.5
Clinical Sciences,1538.0,33.2,-43.5,3.7,0.9
Cardiovascular Medicine and Haematology,559.0,33.1,-49.5,4.1,1.8
Immunology,112.0,31.0,-21.6,5.1,0.6
