year,annual_papers,cumulative_papers,yoy_publication_growth_pct,annual_cross_sector_papers,cumulative_cross_sector_papers,annual_international_papers,cumulative_international_papers,annual_altmetric_papers,cumulative_altmetric_papers,annual_altmetric_score_snapshot,cumulative_altmetric_score_snapshot,annual_citations_snapshot,cumulative_citations_snapshot,annual_open_access_papers,annual_preprints,share_cross_sector_collaboration_pct,share_international_collaboration_pct,share_has_altmetric_attention_pct,share_is_open_access_pct,share_is_preprint_pct,median_authors,authors_q25,authors_q75,mean_authors,new_unique_clinical_trials,cumulative_unique_clinical_trials,annual_papers_linked_clinical_trials,cumulative_papers_linked_clinical_trials,share_papers_linked_clinical_trials_pct,new_unique_patents,cumulative_unique_patents,annual_papers_linked_patents,cumulative_papers_linked_patents,share_papers_linked_patents_pct,new_unique_policy_documents,cumulative_unique_policy_documents,annual_papers_linked_policy_documents,cumulative_papers_linked_policy_documents,share_papers_linked_policy_documents_pct,new_unique_grants,cumulative_unique_grants,annual_papers_linked_grants,cumulative_papers_linked_grants,share_papers_linked_grants_pct,new_unique_datasets,cumulative_unique_datasets,annual_papers_linked_datasets,cumulative_papers_linked_datasets,share_papers_linked_datasets_pct
2013,5,5,,1,1,2,2,5,5,83.0,83.0,792,792,4,0,20.0,40.0,100.0,80.0,0.0,7.0,5.0,14.0,9.0,3,3,1,1,20.0,0,0,0,0,0.0,1,1,1,1,20.0,3,3,5,5,100.0,2,2,1,1,20.0
2014,27,32,440.00000000000006,10,11,12,14,20,25,1955.0,2038.0,4377,5169,20,0,37.03703703703704,44.44444444444444,74.07407407407408,74.07407407407408,0.0,7.0,5.0,10.0,9.37037037037037,2,5,2,3,7.4074074074074066,7,7,3,3,11.11111111111111,21,22,6,7,22.22222222222222,28,31,19,24,70.37037037037037,7,9,2,3,7.4074074074074066
2015,63,95,133.33333333333334,34,45,27,41,55,80,4063.0,6101.0,22511,27680,45,11,53.96825396825397,42.857142857142854,87.3015873015873,71.42857142857143,17.46031746031746,7.0,3.0,11.5,14.952380952380953,10,15,5,8,7.936507936507936,40,47,10,13,15.873015873015872,12,34,8,15,12.698412698412698,152,183,55,79,87.3015873015873,30,39,8,11,12.698412698412698
2016,160,255,153.96825396825395,103,148,86,127,143,223,19199.0,25300.0,27235,54915,132,27,64.375,53.75,89.375,82.5,16.875,10.0,5.0,17.0,20.16875,18,33,12,20,7.5,63,110,19,32,11.875,39,73,16,31,10.0,376,559,129,208,80.625,40,79,11,22,6.875000000000001
2017,310,565,93.75,167,315,152,279,262,485,34106.0,59406.0,34371,89286,271,76,53.87096774193548,49.03225806451613,84.51612903225806,87.41935483870968,24.516129032258064,8.0,5.0,15.0,19.625806451612902,10,43,9,29,2.903225806451613,55,165,33,65,10.64516129032258,27,100,18,49,5.806451612903226,688,1247,227,435,73.22580645161291,67,146,18,40,5.806451612903226
2018,616,1181,98.70967741935483,358,673,331,610,546,1031,70370.0,129776.0,96627,185913,548,173,58.11688311688312,53.73376623376623,88.63636363636364,88.96103896103897,28.084415584415584,9.0,5.0,16.0,20.788961038961038,31,74,28,57,4.545454545454546,167,332,82,147,13.311688311688311,68,168,45,94,7.305194805194805,1213,2460,503,938,81.65584415584416,129,275,38,78,6.1688311688311686
2019,1023,2204,66.07142857142858,552,1225,519,1129,871,1902,78907.0,208683.0,89144,275057,892,305,53.95894428152492,50.733137829912025,85.14173998044966,87.19452590420332,29.814271749755623,8.0,5.0,13.0,17.71065493646139,18,92,19,76,1.857282502443793,120,452,88,235,8.60215053763441,43,211,39,133,3.812316715542522,1469,3929,779,1717,76.1485826001955,185,460,49,127,4.789833822091887
2020,1631,3835,59.43304007820136,916,2141,803,1932,1407,3309,66593.0,275276.0,86615,361672,1466,514,56.16186388718577,49.233599019006746,86.26609442060087,89.88350705088902,31.514408338442674,7.0,5.0,12.0,12.789086450030656,23,115,31,107,1.900674432863274,107,559,80,315,4.904966278356836,105,316,69,202,4.230533415082771,1607,5536,1205,2922,73.88105456774984,389,849,86,213,5.2728387492336
2021,2273,6108,39.36235438381361,1265,3406,1110,3042,1850,5159,128278.0,403554.0,90212,451884,1970,557,55.65332160140783,48.834139903211614,81.39023317201935,86.66959964804224,24.505059392872855,7.0,5.0,12.0,12.0536735591729,29,144,26,133,1.1438627364716234,82,641,79,394,3.4755829300483945,62,378,65,267,2.859656841179058,1713,7249,1669,4591,73.42718873735153,522,1371,145,358,6.379234491860977
2022,2792,8900,22.833260008798952,1579,4985,1265,4307,2301,7460,190238.0,593792.0,79627,531511,2409,722,56.55444126074498,45.308022922636106,82.41404011461319,86.28223495702005,25.859598853868192,8.0,5.0,12.0,11.96525787965616,19,163,17,150,0.6088825214899714,58,699,56,450,2.005730659025788,31,409,38,305,1.361031518624642,1978,9227,2498,7089,89.46991404011462,854,2225,249,607,8.918338108882521
