year,annual_papers,cumulative_papers,cumulative_papers_linked_patents,cumulative_papers_linked_clinical_trials,cumulative_papers_linked_policy_documents,cumulative_papers_linked_datasets,cumulative_cross_sector_papers,cumulative_altmetric_papers,cumulative_unique_grants,cumulative_citations_snapshot
2013,5,5,0,1,1,1,1,5,3,792
2014,27,32,3,3,7,3,11,25,31,5169
2015,63,95,13,8,15,11,45,80,183,27680
2016,160,255,32,20,31,22,148,223,559,54915
2017,310,565,65,29,49,40,315,485,1247,89286
2018,616,1181,147,57,94,78,673,1031,2460,185913
2019,1023,2204,235,76,133,127,1225,1902,3929,275057
2020,1631,3835,315,107,202,213,2141,3309,5536,361672
2021,2273,6108,394,133,267,358,3406,5159,7249,451884
2022,2792,8900,450,150,305,607,4985,7460,9227,531511
2023,3702,12602,491,177,339,894,7118,10133,11047,603326
2024,4948,17550,507,184,358,1273,9960,13141,12833,650118
2025,5892,23442,513,194,369,1532,13425,16532,14847,670428
