for_l2,Female,Male,Unknown,classified,total,female_name_share,unknown_name_share,female_name_ci_low,female_name_ci_high
"Agricultural, Veterinary and Food Sciences",232.0,282.0,399.0,514.0,913.0,45.13618677042802,43.70208105147864,40.88608666661478,49.4584484901748
Biological Sciences,26596.0,43119.0,27952.0,69715.0,97667.0,38.14960912285735,28.61969754369439,37.78969173645721,38.51083240555785
Biomedical and Clinical Sciences,34578.0,55266.0,65571.0,89844.0,155415.0,38.486710297849605,42.190908213492904,38.16905054939315,38.80535455138852
Built Environment and Design,13.0,26.0,24.0,39.0,63.0,33.333333333333336,38.095238095238095,20.632956189598374,49.02260560065401
Chemical Sciences,127.0,207.0,495.0,334.0,829.0,38.02395209580838,59.71049457177322,32.98188413139408,43.338369670712794
"Commerce, Management, Tourism and Services",32.0,80.0,68.0,112.0,180.0,28.571428571428573,37.77777777777778,21.02483979908171,37.53921793235873
Earth Sciences,13.0,13.0,68.0,26.0,94.0,50.0,72.34042553191489,32.06059352575905,67.93940647424095
Economics,22.0,63.0,50.0,85.0,135.0,25.88235294117647,37.03703703703704,17.75809987247225,36.092275229146715
Education,30.0,44.0,20.0,74.0,94.0,40.54054054054054,21.27659574468085,30.090564462555786,51.92416109359206
Engineering,203.0,600.0,736.0,803.0,1539.0,25.280199252801992,47.823261858349575,22.396683579976195,28.399102176959467
Environmental Sciences,277.0,404.0,1439.0,681.0,2120.0,40.67547723935389,67.87735849056604,37.048352141113696,44.4072098193588
Health Sciences,24812.0,38933.0,40123.0,63745.0,103868.0,38.92383716369911,38.62883660030038,38.54601294577819,39.30299626465331
"History, Heritage and Archaeology",126.0,203.0,53.0,329.0,382.0,38.297872340425535,13.87434554973822,33.20882558882893,43.657037133674976
Human Society,226.0,309.0,154.0,535.0,689.0,42.242990654205606,22.35123367198839,38.12733681003709,46.469245609279085
Information and Computing Sciences,737.0,2184.0,1591.0,2921.0,4512.0,25.231085244779184,35.26152482269504,23.689205345338156,26.838027656089718
"Language, Communication and Culture",2.0,4.0,2.0,6.0,8.0,33.333333333333336,25.0,9.677141110578042,70.0006684861608
Law and Legal Studies,20.0,22.0,22.0,42.0,64.0,47.61904761904762,34.375,33.35960123070547,62.27753586865502
Mathematical Sciences,1803.0,3700.0,4018.0,5503.0,9521.0,32.7639469380338,42.20144942758114,31.53627090150139,34.015670003544244
Philosophy and Religious Studies,4.0,7.0,6.0,11.0,17.0,36.36363636363637,35.294117647058826,15.166471095367573,64.6198825492151
Physical Sciences,159.0,408.0,251.0,567.0,818.0,28.04232804232804,30.684596577017114,24.50214341929745,31.878039527748637
Psychology,8533.0,13394.0,9634.0,21927.0,31561.0,38.915492315410226,30.52501505022021,38.27215240644832,39.562715402306544
