year,Female,Male,Unknown,classified,total,female_name_share,unknown_name_share,female_name_ci_low,female_name_ci_high
2013,13.0,31.0,1.0,44.0,45.0,29.545454545454547,2.2222222222222223,18.15552911850489,44.220200126160236
2014,77.0,143.0,33.0,220.0,253.0,35.0,13.043478260869565,29.0037265708613,41.511118914992764
2015,291.0,475.0,176.0,766.0,942.0,37.989556135770236,18.683651804670912,34.620401982100866,41.478572957250115
2016,942.0,1636.0,649.0,2578.0,3227.0,36.53995345228859,20.11155872327239,34.702420817962555,38.417539835353566
2017,1684.0,3132.0,1268.0,4816.0,6084.0,34.966777408637874,20.84155161078238,33.63245124651789,36.325066809391515
2018,3588.0,6574.0,2644.0,10162.0,12806.0,35.30801023420587,20.646571919412775,34.38449712393712,36.24262693563487
2019,5348.0,9162.0,3608.0,14510.0,18118.0,36.857339765678844,19.913897781212054,36.07597203415966,37.64566457857827
2020,5401.0,9512.0,5946.0,14913.0,20859.0,36.216723663917385,28.50568100100676,35.44897513153263,36.991571271344995
2021,7370.0,12403.0,7625.0,19773.0,27398.0,37.273049107368635,27.830498576538435,36.60161864861246,37.94942373861756
2022,8194.0,13081.0,12132.0,21275.0,33407.0,38.514688601645126,36.315742209716525,37.862916494022194,39.170607584544626
2023,10624.0,14980.0,18152.0,25604.0,43756.0,41.493516638025305,41.48459639820825,40.89132408027843,42.09826132853172
2024,9337.0,14942.0,24423.0,24279.0,48702.0,38.45710284608098,50.147837871134655,37.84703301967302,39.07082476272421
2025,10875.0,17123.0,31008.0,27998.0,59006.0,38.84206014715337,52.5505880757889,38.27272521414673,39.414456504997474
