year,observed_entities,cumulative_entities,geolocated_fractional_credit,hhi,effective_entities,top_1_share,top_10_share
2013,15,15,5.0,0.1500448979591837,9.030459652552128,25.0,93.47619047619048
2014,81,82,26.56551724137931,0.04921392691689755,33.89531989428478,12.709609964282862,58.88067381447445
2015,254,292,60.441799165807225,0.036082823234512264,54.78076639713512,11.650906025865657,48.37044644877512
2016,504,597,158.87402123573955,0.03603263925283528,84.19509455455622,14.39008085248467,43.99184753654903
2017,858,1118,307.3556348444105,0.016858260142420072,147.37285891555032,7.451701232940838,32.12527969104554
2018,1526,1939,603.2026887076594,0.012590923385107002,198.8349037763781,3.930734035407419,29.372944088039958
2019,1767,2693,1007.76594449351,0.01121736337754491,244.43983278152896,4.167973356219119,26.72670679939521
2020,2210,3675,1615.8633162266058,0.007508367541405725,352.6147882056689,3.6866781802828346,19.908371233428664
2021,2533,4677,2249.19130094544,0.006891492535190725,405.04255963163087,4.193934491862675,18.51972821553843
2022,3086,5935,2741.3346463946045,0.005007471823269299,514.7411556010109,3.0840365724012475,14.609910009140847
2023,3696,7415,3644.202323563076,0.004274609693190675,628.1159967771864,2.8278890192560207,13.038311846575404
2024,4153,9183,4885.074117170749,0.003468536687285231,738.594766482484,1.7958270907449816,11.430302590737313
2025,5282,11596,5785.6786578692845,0.003256853007936454,838.7272177191426,1.7716218058209579,11.427575259124751
