year,stage,classified_author_paper_pairs,unknown_author_paper_pairs,total_author_paper_pairs,coverage_percent
2013,Strict dictionary,44,1,45,97.77777777777777
2013,Expanded dictionary,44,1,45,97.77777777777777
2013,Offline ensemble,43,2,45,95.55555555555556
2013,Primary + identity linkage,40,5,45,88.88888888888889
2014,Strict dictionary,217,36,253,85.7707509881423
2014,Expanded dictionary,220,33,253,86.95652173913044
2014,Offline ensemble,230,23,253,90.9090909090909
2014,Primary + identity linkage,236,17,253,93.2806324110672
2015,Strict dictionary,748,194,942,79.40552016985139
2015,Expanded dictionary,774,168,942,82.16560509554141
2015,Offline ensemble,826,116,942,87.68577494692144
2015,Primary + identity linkage,844,98,942,89.59660297239915
2016,Strict dictionary,2490,737,3227,77.16145026340254
2016,Expanded dictionary,2602,625,3227,80.63216609854354
2016,Offline ensemble,2803,424,3227,86.86086148125194
2016,Primary + identity linkage,2858,369,3227,88.5652308645801
2017,Strict dictionary,4686,1398,6084,77.02169625246549
2017,Expanded dictionary,4868,1216,6084,80.01314924391848
2017,Offline ensemble,5348,736,6084,87.9026955950033
2017,Primary + identity linkage,5453,631,6084,89.62853385930309
2018,Strict dictionary,9892,2914,12806,77.2450413868499
2018,Expanded dictionary,10279,2527,12806,80.26706231454006
2018,Offline ensemble,11236,1570,12806,87.74012181789786
2018,Primary + identity linkage,11276,1530,12806,88.05247540215524
2019,Strict dictionary,14089,4029,18118,77.76244618611325
2019,Expanded dictionary,14670,3448,18118,80.96920189866431
2019,Offline ensemble,16057,2061,18118,88.62457224859256
2019,Primary + identity linkage,16167,1951,18118,89.23170327850755
2020,Strict dictionary,14398,6461,20859,69.02536075554916
2020,Expanded dictionary,15079,5780,20859,72.29013854930724
2020,Offline ensemble,17207,3652,20859,82.4919698930917
2020,Primary + identity linkage,17981,2878,20859,86.20259839877271
2021,Strict dictionary,19079,8319,27398,69.63646981531498
2021,Expanded dictionary,20009,7389,27398,73.03087816628951
2021,Offline ensemble,23477,3921,27398,85.6887364041171
2021,Primary + identity linkage,23845,3553,27398,87.03190013869624
2022,Strict dictionary,20488,12919,33407,61.32846409435149
2022,Expanded dictionary,21505,11902,33407,64.37273625288114
2022,Offline ensemble,26359,7048,33407,78.90262519831172
2022,Primary + identity linkage,27118,6289,33407,81.17460412488401
2023,Strict dictionary,24579,19177,43756,56.17286772099826
2023,Expanded dictionary,25887,17869,43756,59.16217204497669
2023,Offline ensemble,33158,10598,43756,75.77932169302495
2023,Primary + identity linkage,33953,9803,43756,77.59621537617699
2024,Strict dictionary,23135,25567,48702,47.503182620836924
2024,Expanded dictionary,24554,24148,48702,50.416820664449105
2024,Offline ensemble,34615,14087,48702,71.07510985175148
2024,Primary + identity linkage,35784,12918,48702,73.47542195392386
2025,Strict dictionary,26579,32427,59006,45.044571738467276
2025,Expanded dictionary,28264,30742,59006,47.90021353760635
2025,Offline ensemble,41268,17738,59006,69.93865030674846
2025,Primary + identity linkage,42230,16776,59006,71.56899298376437
