researcher_id,coauthor_count,shared_paper_strength,fractional_collaboration_strength,component,component_size,in_giant_component,community
ur.010000022136.64,1570,1570.0,1.0000001,0,59091,True,5
ur.010000147676.57,8,16.0,1.9999999,1,29,False,112
ur.01000016230.86,48,95.0,7.999999,0,59091,True,44
ur.010000166107.97,4,4.0,1.0,0,59091,True,70
ur.010000212030.10,7,7.0,0.99999994,0,59091,True,41
ur.01000034054.75,43,54.0,2.0,0,59091,True,3
ur.010000357337.33,9,9.0,1.0000001,0,59091,True,32
ur.01000046600.87,9,18.0,3.0,0,59091,True,56
ur.010000504754.51,7,7.0,0.99999994,0,59091,True,77
ur.010000510502.25,22,44.0,2.0000002,0,59091,True,23
ur.01000053751.67,19,19.0,0.9999999,0,59091,True,28
ur.010000711760.88,9,9.0,1.0000001,0,59091,True,4
ur.01000072561.73,10,10.0,1.0,2,11,False,266
ur.01000074727.47,12,12.0,0.9999999,3,13,False,222
ur.01000103640.95,4,24.0,6.0,0,59091,True,22
ur.010001043302.06,381,512.0,10.999999,0,59091,True,20
ur.010001076255.05,8,8.0,0.99999994,4,9,False,341
ur.010001126577.28,10,10.0,1.0,5,19,False,149
ur.010001150663.35,11,18.0,2.0,0,59091,True,42
ur.01000121762.83,311,584.0,3.9999995,0,59091,True,10
ur.010001222636.03,9,18.0,2.0000002,0,59091,True,53
ur.01000122367.42,2,2.0,0.99999994,0,59091,True,9
ur.01000126527.89,5,5.0,0.99999994,6,6,False,705
ur.01000133066.14,31,52.0,3.0000005,0,59091,True,22
ur.010001367765.55,15,29.0,2.0,0,59091,True,11
ur.01000142063.33,72,101.0,1.9999995,0,59091,True,17
ur.01000143122.90,44,116.0,5.9999995,0,59091,True,6
ur.010001447710.76,10,10.0,1.0,0,59091,True,61
ur.01000145163.25,2,4.0,3.0,0,59091,True,16
ur.010001520635.16,3,3.0,0.99999994,0,59091,True,39
ur.01000155366.07,108,108.0,1.0000002,0,59091,True,52
ur.010001570347.29,97,314.0,3.9999998,0,59091,True,4
ur.010001621205.28,15,15.0,0.99999994,0,59091,True,33
ur.010001624507.14,8,16.0,1.9999999,0,59091,True,17
ur.010001644602.13,15,15.0,0.99999994,0,59091,True,20
ur.010001674127.14,7,7.0,0.99999994,0,59091,True,34
ur.01000170500.65,43,43.0,1.9999999,0,59091,True,1
ur.01000171142.78,24,24.0,2.0000002,0,59091,True,30
ur.01000172227.72,12,12.0,0.9999999,7,13,False,221
ur.01000204255.79,8,17.0,3.0,0,59091,True,2
ur.01000206676.78,13,13.0,1.0,0,59091,True,215
ur.01000217651.82,27,97.0,9.0,0,59091,True,12
ur.010002206302.31,3,9.0,2.9999998,0,59091,True,10
ur.010002216775.05,4,8.0,2.0,0,59091,True,2
ur.01000222674.92,5,5.0,0.99999994,0,59091,True,2
ur.010002231055.25,4,4.0,1.0,8,20,False,138
ur.010002310420.10,1,1.0,1.0,9,2,False,1681
ur.010002342214.61,22,43.0,4.999999,0,59091,True,53
ur.010002357123.80,16,16.0,1.0,0,59091,True,8
ur.01000237255.78,9,9.0,1.9999999,10,10,False,291
ur.01000237761.50,41,49.0,3.9999998,0,59091,True,15
ur.010002433005.79,11,11.0,1.0000001,0,59091,True,8
ur.01000255201.91,9,9.0,1.0000001,0,59091,True,37
ur.010002575033.03,28,55.0,1.9999999,0,59091,True,10
ur.01000257725.27,11,28.0,4.0000005,0,59091,True,39
ur.01000261537.16,4,4.0,1.0,0,59091,True,59
ur.01000263413.17,189,207.0,3.0,0,59091,True,10
ur.010002654553.31,18,31.0,3.0000002,0,59091,True,17
ur.01000273261.41,11,11.0,1.0000001,0,59091,True,11
ur.010002751312.03,46,197.0,15.0,0,59091,True,12
ur.01000306202.74,86,87.0,1.9999999,0,59091,True,47
ur.010003101653.78,7,7.0,0.99999994,0,59091,True,2
ur.010003115174.39,15,24.0,1.9999998,0,59091,True,14
ur.01000314671.43,16,16.0,1.0,0,59091,True,24
ur.01000323521.35,652,1548.0,12.000002,0,59091,True,4
ur.010003241343.79,4,4.0,1.0,0,59091,True,13
ur.010003443017.84,9,25.0,5.0,0,59091,True,25
ur.01000347250.56,8,8.0,0.99999994,0,59091,True,87
ur.010003515703.88,1570,1570.0,1.0000001,0,59091,True,5
ur.01000356526.20,11,22.0,2.0000002,0,59091,True,2
ur.01000357222.31,28,28.0,0.9999999,0,59091,True,9
ur.01000361750.67,19,38.0,1.9999998,0,59091,True,4
ur.01000362423.23,115,224.0,1.9999995,0,59091,True,51
ur.010003675760.85,6,6.0,1.0,11,7,False,563
ur.010003705312.69,3,3.0,0.99999994,0,59091,True,48
ur.010003705373.48,7,14.0,1.9999999,0,59091,True,73
ur.010003705725.76,17,17.0,0.99999994,0,59091,True,18
ur.010003735161.27,4,8.0,2.0,0,59091,True,9
ur.010003747220.02,6,6.0,1.0,0,59091,True,44
ur.01000376133.07,223,289.0,6.0000005,0,59091,True,7
ur.01000400053.34,9,9.0,1.0000001,0,59091,True,3
ur.010004031720.45,15,21.0,2.0000002,0,59091,True,8
ur.01000406164.89,19,23.0,1.9999999,0,59091,True,28
ur.010004112614.32,4,4.0,1.0,0,59091,True,18
ur.01000412242.36,17,34.0,1.9999999,0,59091,True,10
