source,target,weight
Community 1,Community 10,217.85814
Community 1,Community 11,383.8321
Community 1,Community 12,780.5525
Community 1,Community 2,782.47015
Community 1,Community 3,1524.9601
Community 1,Community 4,720.9447
Community 1,Community 5,38.47536
Community 1,Community 6,394.6154
Community 1,Community 7,662.5443
Community 1,Community 8,234.40614
Community 1,Community 9,993.7355
Community 1,Other communities,3902.7634
Community 10,Community 11,7.189086
Community 10,Community 12,49.20588
Community 10,Community 2,18.975252
Community 10,Community 3,39.84193
Community 10,Community 4,91.299805
Community 10,Community 5,9.49932
Community 10,Community 6,15.675387
Community 10,Community 7,18.7669
Community 10,Community 8,16.682838
Community 10,Community 9,29.217854
Community 10,Other communities,205.2786
Community 11,Community 12,32.026543
Community 11,Community 2,78.83416
Community 11,Community 3,72.09516
Community 11,Community 4,32.961937
Community 11,Community 5,9.77722
Community 11,Community 6,34.583683
Community 11,Community 7,22.002113
Community 11,Community 8,19.892075
Community 11,Community 9,40.609768
Community 11,Other communities,293.7515
Community 12,Community 2,58.916176
Community 12,Community 3,62.091393
Community 12,Community 4,220.71327
Community 12,Community 5,11.912467
Community 12,Community 6,61.828968
Community 12,Community 7,50.322422
Community 12,Community 8,8.622028
Community 12,Community 9,136.40213
Community 12,Other communities,535.1639
Community 2,Community 3,239.46974
Community 2,Community 4,15.81335
Community 2,Community 5,5.2615714
Community 2,Community 6,46.849464
Community 2,Community 7,142.30865
Community 2,Community 8,42.8698
Community 2,Community 9,211.59804
Community 2,Other communities,871.04846
Community 3,Community 4,103.795044
Community 3,Community 5,2.5479717
Community 3,Community 6,124.58674
Community 3,Community 7,175.27736
Community 3,Community 8,251.43718
Community 3,Community 9,178.88716
Community 3,Other communities,1140.1451
Community 4,Community 5,0.16789119
Community 4,Community 6,80.64075
Community 4,Community 7,48.41655
Community 4,Community 8,23.178387
Community 4,Community 9,43.608177
Community 4,Other communities,877.39606
Community 5,Community 6,3.762769
Community 5,Community 7,10.730198
Community 5,Community 8,10.139664
Community 5,Community 9,9.776633
Community 5,Other communities,59.208134
Community 6,Community 7,89.30526
Community 6,Community 8,47.478252
Community 6,Community 9,113.42053
Community 6,Other communities,355.83014
Community 7,Community 8,46.141937
Community 7,Community 9,53.6876
Community 7,Other communities,500.3497
Community 8,Community 9,25.362736
Community 8,Other communities,341.2947
Community 9,Other communities,636.651
