plot_node,modal_for_l2,n_authors,group_authors,author_share,rank
Community 1,Biological Sciences,4602,6959,0.6613019111941371,1
Community 1,Biomedical and Clinical Sciences,1755,6959,0.25219140681132346,2
Community 1,Health Sciences,468,6959,0.06725104181635293,3
Community 1,Psychology,93,6959,0.013363989078890645,4
Community 1,Information and Computing Sciences,16,6959,0.0022991809167983907,5
Community 1,Human Society,10,6959,0.0014369880729989942,6
Community 1,"Agricultural, Veterinary and Food Sciences",9,6959,0.0012932892656990947,7
Community 1,Mathematical Sciences,5,6959,0.0007184940364994971,8
Community 1,Economics,1,6959,0.00014369880729989942,9
Community 10,Biomedical and Clinical Sciences,826,1519,0.543778801843318,1
Community 10,Biological Sciences,537,1519,0.3535220539828835,2
Community 10,Health Sciences,98,1519,0.06451612903225806,3
Community 10,Psychology,22,1519,0.014483212639894667,4
Community 10,Mathematical Sciences,11,1519,0.007241606319947334,5
Community 10,Environmental Sciences,10,1519,0.0065832784726793945,6
Community 10,Chemical Sciences,8,1519,0.005266622778143515,7
Community 10,Information and Computing Sciences,7,1519,0.004608294930875576,8
Community 11,Biomedical and Clinical Sciences,833,1505,0.5534883720930233,1
Community 11,Biological Sciences,459,1505,0.30498338870431896,2
Community 11,Health Sciences,185,1505,0.12292358803986711,3
Community 11,Information and Computing Sciences,16,1505,0.0106312292358804,4
Community 11,Psychology,11,1505,0.007308970099667774,5
Community 11,Mathematical Sciences,1,1505,0.000664451827242525,6
Community 12,Biomedical and Clinical Sciences,764,1497,0.5103540414161657,1
Community 12,Health Sciences,297,1497,0.19839679358717435,2
Community 12,Psychology,214,1497,0.14295257181028725,3
Community 12,Biological Sciences,209,1497,0.1396125584502338,4
Community 12,"Agricultural, Veterinary and Food Sciences",6,1497,0.004008016032064128,5
Community 12,Law and Legal Studies,5,1497,0.0033400133600534404,6
Community 12,"Commerce, Management, Tourism and Services",1,1497,0.0006680026720106881,7
Community 12,Information and Computing Sciences,1,1497,0.0006680026720106881,8
Community 2,Biomedical and Clinical Sciences,2308,3657,0.6311184030626197,1
Community 2,Biological Sciences,1045,3657,0.2857533497402242,2
Community 2,Health Sciences,285,3657,0.07793273174733388,3
Community 2,Mathematical Sciences,10,3657,0.0027344818156959257,4
Community 2,Information and Computing Sciences,4,3657,0.0010937927262783702,5
Community 2,"Agricultural, Veterinary and Food Sciences",3,3657,0.0008203445447087777,6
Community 2,Built Environment and Design,1,3657,0.00027344818156959256,7
Community 2,Engineering,1,3657,0.00027344818156959256,8
Community 3,Biomedical and Clinical Sciences,860,2646,0.3250188964474679,1
Community 3,Psychology,807,2646,0.30498866213151926,2
Community 3,Biological Sciences,579,2646,0.21882086167800455,3
Community 3,Health Sciences,204,2646,0.07709750566893424,4
Community 3,Information and Computing Sciences,132,2646,0.049886621315192746,5
Community 3,Physical Sciences,25,2646,0.00944822373393802,6
Community 3,Mathematical Sciences,17,2646,0.006424792139077854,7
Community 3,Engineering,14,2646,0.005291005291005291,8
Community 3,Education,7,2646,0.0026455026455026454,9
Community 3,Earth Sciences,1,2646,0.0003779289493575208,10
Community 4,Biological Sciences,1813,2207,0.8214771182600815,1
Community 4,Biomedical and Clinical Sciences,216,2207,0.0978704123244223,2
Community 4,Health Sciences,178,2207,0.08065246941549614,3
Community 5,Biological Sciences,996,2086,0.47746883988494726,1
Community 5,Biomedical and Clinical Sciences,839,2086,0.40220517737296263,2
Community 5,Health Sciences,194,2086,0.09300095877277086,3
Community 5,"Agricultural, Veterinary and Food Sciences",28,2086,0.013422818791946308,4
Community 5,Psychology,23,2086,0.01102588686481304,5
Community 5,Mathematical Sciences,6,2086,0.0028763183125599234,6
Community 6,Biomedical and Clinical Sciences,974,1948,0.5,1
Community 6,Biological Sciences,710,1948,0.364476386036961,2
Community 6,Health Sciences,201,1948,0.10318275154004107,3
Community 6,Information and Computing Sciences,44,1948,0.022587268993839837,4
Community 6,Mathematical Sciences,10,1948,0.00513347022587269,5
Community 6,Engineering,4,1948,0.002053388090349076,6
Community 6,Psychology,4,1948,0.002053388090349076,7
Community 6,Economics,1,1948,0.000513347022587269,8
Community 7,Biomedical and Clinical Sciences,1203,1819,0.6613523914238593,1
Community 7,Biological Sciences,213,1819,0.1170973062122045,2
Community 7,Health Sciences,200,1819,0.10995052226498075,3
Community 7,Information and Computing Sciences,165,1819,0.09070918086860913,4
Community 7,Engineering,22,1819,0.012094557449147883,5
Community 7,Psychology,11,1819,0.006047278724573941,6
Community 7,"Commerce, Management, Tourism and Services",3,1819,0.0016492578339747114,7
Community 7,"Agricultural, Veterinary and Food Sciences",1,1819,0.0005497526113249038,8
Community 7,Unclassified,1,1819,0.0005497526113249038,9
Community 8,Biomedical and Clinical Sciences,1033,1649,0.6264402668283808,1
Community 8,Biological Sciences,385,1649,0.23347483323226198,2
Community 8,Health Sciences,163,1649,0.09884778653729533,3
Community 8,Information and Computing Sciences,26,1649,0.015767131594906003,4
Community 8,Engineering,18,1649,0.010915706488781079,5
Community 8,Psychology,18,1649,0.010915706488781079,6
Community 8,"Agricultural, Veterinary and Food Sciences",4,1649,0.002425712553062462,7
Community 8,Human Society,1,1649,0.0006064281382656155,8
Community 8,Mathematical Sciences,1,1649,0.0006064281382656155,9
Community 9,Biomedical and Clinical Sciences,842,1520,0.5539473684210526,1
Community 9,Biological Sciences,375,1520,0.24671052631578946,2
Community 9,Health Sciences,262,1520,0.1723684210526316,3
Community 9,Environmental Sciences,21,1520,0.01381578947368421,4
