plot_node,group_authors,leading_value,leading_value_authors,leading_value_share,top_three
Community 1,6959,Biological Sciences,4602,0.6613019111941371,"Biological Sciences (4602, 66.1%); Biomedical and Clinical Sciences (1755, 25.2%); Health Sciences (468, 6.7%)"
Community 10,1519,Biomedical and Clinical Sciences,826,0.543778801843318,"Biomedical and Clinical Sciences (826, 54.4%); Biological Sciences (537, 35.4%); Health Sciences (98, 6.5%)"
Community 11,1505,Biomedical and Clinical Sciences,833,0.5534883720930233,"Biomedical and Clinical Sciences (833, 55.3%); Biological Sciences (459, 30.5%); Health Sciences (185, 12.3%)"
Community 12,1497,Biomedical and Clinical Sciences,764,0.5103540414161657,"Biomedical and Clinical Sciences (764, 51.0%); Health Sciences (297, 19.8%); Psychology (214, 14.3%)"
Community 2,3657,Biomedical and Clinical Sciences,2308,0.6311184030626197,"Biomedical and Clinical Sciences (2308, 63.1%); Biological Sciences (1045, 28.6%); Health Sciences (285, 7.8%)"
Community 3,2646,Biomedical and Clinical Sciences,860,0.3250188964474679,"Biomedical and Clinical Sciences (860, 32.5%); Psychology (807, 30.5%); Biological Sciences (579, 21.9%)"
Community 4,2207,Biological Sciences,1813,0.8214771182600815,"Biological Sciences (1813, 82.1%); Biomedical and Clinical Sciences (216, 9.8%); Health Sciences (178, 8.1%)"
Community 5,2086,Biological Sciences,996,0.47746883988494726,"Biological Sciences (996, 47.7%); Biomedical and Clinical Sciences (839, 40.2%); Health Sciences (194, 9.3%)"
Community 6,1948,Biomedical and Clinical Sciences,974,0.5,"Biomedical and Clinical Sciences (974, 50.0%); Biological Sciences (710, 36.4%); Health Sciences (201, 10.3%)"
Community 7,1819,Biomedical and Clinical Sciences,1203,0.6613523914238593,"Biomedical and Clinical Sciences (1203, 66.1%); Biological Sciences (213, 11.7%); Health Sciences (200, 11.0%)"
Community 8,1649,Biomedical and Clinical Sciences,1033,0.6264402668283808,"Biomedical and Clinical Sciences (1033, 62.6%); Biological Sciences (385, 23.3%); Health Sciences (163, 9.9%)"
Community 9,1520,Biomedical and Clinical Sciences,842,0.5539473684210526,"Biomedical and Clinical Sciences (842, 55.4%); Biological Sciences (375, 24.7%); Health Sciences (262, 17.2%)"
Other communities,40225,Biomedical and Clinical Sciences,22727,0.5649968924798011,"Biomedical and Clinical Sciences (22727, 56.5%); Biological Sciences (9542, 23.7%); Health Sciences (5724, 14.2%)"
