community,modal_for_l4,n_authors,group_authors,author_share,rank
1,Genetics,3481,6891,0.5051516470758961,1
1,Epidemiology,1130,6891,0.16398200551443912,2
1,Clinical Sciences,620,6891,0.08997242780438253,3
1,Biological Psychology,564,6891,0.08184588593818024,4
1,Cardiovascular Medicine and Haematology,336,6891,0.048759251197213756,5
1,Medical Biochemistry and Metabolomics,105,6891,0.015237265999129298,6
1,Biochemistry and Cell Biology,81,6891,0.011754462342185459,7
1,Pharmacology and Pharmaceutical Sciences,64,6891,0.009287476418516906,8
1,Unclassified,59,6891,0.008561892323320273,9
1,Medical Physiology,39,6891,0.0056595559425337396,10
1,Nutrition and Dietetics,39,6891,0.0056595559425337396,11
1,Public Health,38,6891,0.005514439123494413,12
1,Paediatrics,37,6891,0.005369322304455086,13
1,Immunology,33,6891,0.00478885502829778,14
1,Reproductive Medicine,33,6891,0.00478885502829778,15
1,Health Services and Systems,29,6891,0.004208387752140473,16
1,Evolutionary Biology,25,6891,0.0036279204759831663,17
1,Bioinformatics and Computational Biology,23,6891,0.003337686837904513,18
1,Ophthalmology and Optometry,22,6891,0.0031925700188651864,19
1,Oncology and Carcinogenesis,20,6891,0.002902336380786533,20
1,Machine Learning,16,6891,0.0023218691046292266,21
1,Dentistry,12,6891,0.0017414018284719198,22
1,Ecology,12,6891,0.0017414018284719198,23
1,Medical Biotechnology,11,6891,0.0015962850094325932,24
1,Anthropology,10,6891,0.0014511681903932665,25
1,Ecological Applications,10,6891,0.0014511681903932665,26
1,Agricultural Biotechnology,8,6891,0.0011609345523146133,27
1,Allied Health and Rehabilitation Science,5,6891,0.0007255840951966333,28
1,Applied and Developmental Psychology,5,6891,0.0007255840951966333,29
1,Statistics,5,6891,0.0007255840951966333,30
1,Demography,4,6891,0.0005804672761573066,31
1,Sports Science and Exercise,4,6891,0.0005804672761573066,32
1,Clinical and Health Psychology,3,6891,0.00043535045711797995,33
1,Analytical Chemistry,2,6891,0.0002902336380786533,34
1,Neurosciences,2,6891,0.0002902336380786533,35
1,Applied Economics,1,6891,0.00014511681903932666,36
1,Biomedical Engineering,1,6891,0.00014511681903932666,37
1,Food Sciences,1,6891,0.00014511681903932666,38
1,Social and Personality Psychology,1,6891,0.00014511681903932666,39
2,Oncology and Carcinogenesis,1113,3646,0.3052660449808009,1
2,Genetics,985,3646,0.2701590784421284,2
2,Epidemiology,623,3646,0.17087218869994514,3
2,Clinical Sciences,369,3646,0.10120680197476686,4
2,Cardiovascular Medicine and Haematology,119,3646,0.032638507953922105,5
2,Nutrition and Dietetics,117,3646,0.03208996160175535,6
2,Health Services and Systems,102,3646,0.027975863960504662,7
2,Public Health,43,3646,0.011793746571585299,8
2,Medical Biochemistry and Metabolomics,25,3646,0.006856829402084476,9
2,Biochemistry and Cell Biology,23,3646,0.006308283049917718,10
2,Unclassified,20,3646,0.005485463521667581,11
2,Reproductive Medicine,17,3646,0.004662643993417444,12
2,Bioinformatics and Computational Biology,16,3646,0.004388370817334065,13
2,Medical Physiology,14,3646,0.0038398244651673065,14
2,Pharmacology and Pharmaceutical Sciences,11,3646,0.0030170049369171695,15
2,Statistics,10,3646,0.0027427317608337905,16
2,Dentistry,9,3646,0.0024684585847504115,17
2,Immunology,9,3646,0.0024684585847504115,18
2,Ophthalmology and Optometry,7,3646,0.0019199122325836533,19
2,"Agriculture, Land and Farm Management",3,3646,0.0008228195282501371,20
2,Biological Psychology,3,3646,0.0008228195282501371,21
2,Machine Learning,3,3646,0.0008228195282501371,22
2,Sports Science and Exercise,2,3646,0.0005485463521667581,23
2,Analytical Chemistry,1,3646,0.00027427317608337906,24
2,Distributed Computing and Systems Software,1,3646,0.00027427317608337906,25
2,Software Engineering,1,3646,0.00027427317608337906,26
3,Genetics,1101,3236,0.34023485784919655,1
3,Epidemiology,675,3236,0.20859085290482077,2
3,Cardiovascular Medicine and Haematology,541,3236,0.16718170580964153,3
3,Clinical Sciences,310,3236,0.0957972805933251,4
3,Bioinformatics and Computational Biology,85,3236,0.02626699629171817,5
3,Biochemistry and Cell Biology,77,3236,0.02379480840543881,6
3,Medical Biochemistry and Metabolomics,52,3236,0.016069221260815822,7
3,Ophthalmology and Optometry,40,3236,0.012360939431396786,8
3,Oncology and Carcinogenesis,35,3236,0.010815822002472188,9
3,Health Services and Systems,34,3236,0.010506798516687269,10
3,Unclassified,29,3236,0.00896168108776267,11
3,Biological Psychology,27,3236,0.00834363411619283,12
3,Sports Science and Exercise,27,3236,0.00834363411619283,13
3,Immunology,23,3236,0.007107540173053152,14
3,Public Health,23,3236,0.007107540173053152,15
3,Medical Physiology,17,3236,0.005253399258343634,16
3,Reproductive Medicine,17,3236,0.005253399258343634,17
3,Medical Biotechnology,15,3236,0.0046353522867737945,18
3,Medical Microbiology,13,3236,0.0040173053152039555,19
3,Nutrition and Dietetics,13,3236,0.0040173053152039555,20
3,Pharmacology and Pharmaceutical Sciences,12,3236,0.003708281829419036,21
3,"Graphics, Augmented Reality and Games",11,3236,0.003399258343634116,22
3,Applied Computing,10,3236,0.0030902348578491965,23
3,Statistics,10,3236,0.0030902348578491965,24
3,Dentistry,8,3236,0.002472187886279357,25
3,Machine Learning,8,3236,0.002472187886279357,26
3,Allied Health and Rehabilitation Science,6,3236,0.001854140914709518,27
3,Fluid Mechanics and Thermal Engineering,5,3236,0.0015451174289245982,28
3,Anthropology,4,3236,0.0012360939431396785,29
3,Information Systems,4,3236,0.0012360939431396785,30
3,Data Management and Data Science,3,3236,0.000927070457354759,31
3,Ecology,1,3236,0.00030902348578491963,32
4,Biological Psychology,1355,2581,0.5249903138318481,1
4,Genetics,344,2581,0.13328167376985664,2
4,Clinical Sciences,240,2581,0.09298721425803952,3
4,Epidemiology,154,2581,0.05966679581557536,4
4,Unclassified,115,2581,0.044556373498643935,5
4,Machine Learning,102,2581,0.0395195660596668,6
4,Cardiovascular Medicine and Haematology,35,2581,0.013560635412630763,7
4,Pharmacology and Pharmaceutical Sciences,30,2581,0.01162340178225494,8
4,Health Services and Systems,18,2581,0.006974041069352964,9
4,Social and Personality Psychology,18,2581,0.006974041069352964,10
4,Statistics,17,2581,0.0065865943432778,11
4,Applied and Developmental Psychology,13,2581,0.005036807438977141,12
