researcher_id,full_name,community,modal_for_l2,modal_for_l4,modal_institution,modal_country,name_gender
ur.010000022136.64,Ravi Bhatterjee,4,Biological Sciences,Epidemiology,Royal Blackburn Teaching Hospital,United Kingdom,Male
ur.010000147676.57,Qidi Zhang,112,Biomedical and Clinical Sciences,Nutrition and Dietetics,Anhui Medical University,China,Unknown
ur.01000016230.86,Xiong Guo,42,Biomedical and Clinical Sciences,Genetics,Xi'an Jiaotong University,China,Male
ur.010000166107.97,Tej Pandya,70,Biological Sciences,Biochemistry and Cell Biology,The Francis Crick Institute Ltd,United Kingdom,Male
ur.010000212030.10,Zhiyong Wang,39,Biomedical and Clinical Sciences,Dentistry,Zhejiang University,China,Male
ur.01000034054.75,Rajesh Kumar,9,Biological Sciences,Genetics,Lurie Children's Hospital,United States,Male
ur.010000357337.33,Gaixia Li,33,Biomedical and Clinical Sciences,Clinical Sciences,Xi'an Jiaotong University,China,Unknown
ur.01000046600.87,Pei Yu,57,Biomedical and Clinical Sciences,Clinical Sciences,Tianjin Medical University,China,Female
ur.010000504754.51,Haitao Li,79,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Jilin University,China,Male
ur.010000510502.25,Louis-Philippe Boulet,28,Biological Sciences,Genetics,Institut universitaire de cardiologie et de pneumologie de Québec – Université Laval,Canada,Male
ur.01000053751.67,Eric O Aboagye,29,Biomedical and Clinical Sciences,Oncology and Carcinogenesis,Imperial College London,United Kingdom,Male
ur.010000711760.88,Jiong Zhang,19,Biomedical and Clinical Sciences,,Ningbo Institute of Industrial Technology,China,Unknown
ur.01000072561.73,Csaba Pál,279,Biological Sciences,Immunology,Institute of Biochemistry,Hungary,Male
ur.01000074727.47,Zheng Liu,215,Biomedical and Clinical Sciences,Immunology,Tongji Hospital Affiliated to Tongji Medical College of Huazhong University of Science & Technology,China,Male
ur.01000103640.95,Tal Lorberbaum,48,Information and Computing Sciences,Health Services and Systems,Columbia University Irving Medical Center,United States,Male
ur.010001043302.06,Augustine Kong,22,Biological Sciences,Genetics,University of Oxford,United Kingdom,Unknown
ur.010001076255.05,Caleb Kennedy,399,Biomedical and Clinical Sciences,Clinical Sciences,"Etiome Inc, Cambridge, MA;",United States,Male
ur.010001126577.28,Ping Wen,148,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Shenzhen Maternity and Child Healthcare Hospital,China,Unknown
ur.010001150663.35,Siamak Mehrkanoon,27,Biomedical and Clinical Sciences,Oncology and Carcinogenesis,Maastricht University,Netherlands,Male
ur.01000121762.83,Luca Kleineidam,10,Biological Sciences,Biological Psychology,German Center for Neurodegenerative Diseases,Germany,Male
ur.010001222636.03,Jing-wen Zhang,40,Biomedical and Clinical Sciences,Clinical Sciences,Peking University Shenzhen Hospital,China,Unknown
ur.01000122367.42,Rosalind Tang,13,Biomedical and Clinical Sciences,Public Health,St. Michael's Hospital,Canada,Female
ur.01000126527.89,Dan A. Gordon,729,Health Sciences,Sports Science and Exercise,Anglia Ruskin University,United Kingdom,Male
ur.01000133066.14,Zeneng Wang,74,Biomedical and Clinical Sciences,Epidemiology,Cleveland Clinic,United States,Unknown
ur.010001367765.55,Cristina González-Gonzalo,8,Biomedical and Clinical Sciences,Ophthalmology and Optometry,Radboud University Nijmegen Medical Centre,Netherlands,Female
ur.01000142063.33,Simon P Hart,9,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Castle Hill Hospital,United Kingdom,Male
ur.01000143122.90,Mona Allouba,7,Biological Sciences,Genetics,Magdi Yacoub Heart Foundation,Egypt,Female
ur.010001447710.76,Anyi Xiang,34,Biomedical and Clinical Sciences,Clinical Sciences,Zhongshan Hospital,China,Female
ur.01000145163.25,Isabel A Hujoel,17,Health Sciences,Epidemiology,University of Washington,United States,Female
ur.010001520635.16,Erik Roecher,36,Physical Sciences,"Atomic, Molecular and Optical Physics",Technical Univ. of Aachen (Germany),Germany,Male
ur.01000155366.07,Elisabet Svenungsson,53,Biological Sciences,Biochemistry and Cell Biology,Karolinska University Hospital,Sweden,Female
ur.010001570347.29,Elisabeth G. Celius,3,Psychology,Biological Psychology,University of Oslo,Norway,Female
ur.010001621205.28,Tianbao Liu,30,Biomedical and Clinical Sciences,Medical Biochemistry and Metabolomics,Shandong University,China,Male
ur.010001624507.14,Richard Mayanja,9,Biological Sciences,Genetics,Makerere University,Uganda,Male
ur.010001644602.13,Jakob Versnjak,22,Biomedical and Clinical Sciences,Clinical Sciences,Deutsches Herzzentrum der Charité,Germany,Male
ur.010001674127.14,Jingge Qu,16,Health Sciences,Epidemiology,Peking University,China,Unknown
ur.01000170500.65,Martin O Pollard,5,Biological Sciences,Genetics,Wellcome Sanger Institute,United Kingdom,Male
ur.01000171142.78,Xiang Han,32,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Huashan Hospital,China,Unknown
ur.01000172227.72,Christina E. Zielinski,217,Biomedical and Clinical Sciences,Immunology,Hans Knöll Institute,Germany,Female
ur.01000204255.79,M.R Jones,2,Biological Sciences,Genetics,Cedars-Sinai Medical Center,United States,Unknown
ur.01000206676.78,Maria Tellez-Plaza,44,Biomedical and Clinical Sciences,Nutrition and Dietetics,Instituto de Salud Carlos III,Spain,Female
ur.01000217651.82,Keith M. Smith,12,Psychology,Biological Psychology,University of Strathclyde,United Kingdom,Male
ur.010002206302.31,Niels R. Lorenzen,10,Information and Computing Sciences,Machine Learning,Technical University of Denmark,Denmark,Male
ur.010002216775.05,Vivien Holmes,2,Health Sciences,Epidemiology,University of Manchester,United Kingdom,Female
ur.01000222674.92,Jonas D. Finger,2,Health Sciences,Epidemiology,Robert Koch Institute,Germany,Male
ur.010002231055.25,Weixin Chu,140,Biomedical and Clinical Sciences,Oncology and Carcinogenesis,Qingdao Municipal Hospital,China,Unknown
ur.010002310420.10,Peng-Zhe Xie,1593,Biomedical and Clinical Sciences,Analytical Chemistry,Tianjin Medical University Cancer Institute and Hospital,China,Unknown
ur.010002342214.61,Pingan Li,40,Biomedical and Clinical Sciences,Clinical Sciences,Capital Medical University,China,Unknown
ur.010002357123.80,Laleh Foroutani,6,Biological Sciences,Genetics,"University of California, San Francisco",United States,Female
ur.01000237255.78,Yi Peng,310,Biomedical and Clinical Sciences,Epidemiology,Xiangya Hospital Central South University,China,Female
ur.01000237761.50,Marina Mitjans,15,Psychology,Genetics,University of Barcelona,Spain,Female
ur.010002433005.79,Mads D Faurby,21,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Novo Nordisk AS,Denmark,Male
ur.01000255201.91,Xiaojie Tan,58,Health Sciences,Epidemiology,Ministry of Education of the People's Republic of China,China,Female
ur.010002575033.03,Carolina Minguillón,10,Biological Sciences,Biochemistry and Cell Biology,Hospital del Mar Medical Research Institute,Spain,Female
ur.01000257725.27,Dawn Aitken,36,Biomedical and Clinical Sciences,Clinical Sciences,University of Tasmania,Australia,Female
