community,name_gender,n_authors,group_authors,author_share,rank
1,Male,3457,6891,0.5016688434189522,1
1,Female,2721,6891,0.39486286460600784,2
1,Unknown,713,6891,0.10346829197503991,3
2,Female,1636,3646,0.4487109160724081,1
2,Male,1589,3646,0.4358200767964893,2
2,Unknown,421,3646,0.11546900713110257,3
3,Male,1584,3236,0.4894932014833127,1
3,Female,1167,3236,0.36063040791100126,2
3,Unknown,485,3236,0.14987639060568603,3
4,Male,1286,2581,0.49825648973266173,1
4,Female,904,2581,0.35025184037194884,2
4,Unknown,391,2581,0.1514916698953894,3
5,Female,1320,2201,0.5997273966378919,1
5,Male,668,2201,0.30349840981372106,2
5,Unknown,213,2201,0.0967741935483871,3
6,Male,1075,1963,0.5476311767702496,1
6,Female,644,1963,0.3280692817116658,2
6,Unknown,244,1963,0.12429954151808456,3
7,Male,954,1754,0.5438996579247435,1
7,Female,625,1754,0.3563283922462942,2
7,Unknown,175,1754,0.09977194982896237,3
8,Male,901,1748,0.5154462242562929,1
8,Female,599,1748,0.3426773455377574,2
8,Unknown,248,1748,0.14187643020594964,3
9,Male,736,1609,0.4574269732753263,1
9,Female,649,1609,0.4033561218147918,2
9,Unknown,224,1609,0.13921690490988192,3
10,Male,784,1599,0.4903064415259537,1
10,Female,692,1599,0.43277048155096937,2
10,Unknown,123,1599,0.07692307692307693,3
11,Male,786,1580,0.49746835443037973,1
11,Female,535,1580,0.33860759493670883,2
11,Unknown,259,1580,0.1639240506329114,3
12,Male,700,1564,0.4475703324808184,1
12,Female,690,1564,0.4411764705882353,2
12,Unknown,174,1564,0.11125319693094629,3
13,Male,513,1240,0.4137096774193548,1
13,Female,427,1240,0.3443548387096774,2
13,Unknown,300,1240,0.24193548387096775,3
14,Unknown,636,1219,0.5217391304347826,1
14,Female,309,1219,0.2534864643150123,2
14,Male,274,1219,0.2247744052502051,3
15,Male,563,1209,0.46567411083540117,1
15,Female,480,1209,0.3970223325062035,2
15,Unknown,166,1209,0.13730355665839536,3
16,Male,661,1160,0.5698275862068966,1
16,Female,329,1160,0.2836206896551724,2
16,Unknown,170,1160,0.14655172413793102,3
17,Male,510,1139,0.44776119402985076,1
17,Female,408,1139,0.3582089552238806,2
17,Unknown,221,1139,0.19402985074626866,3
