community,group_authors,leading_value,leading_value_authors,leading_value_share,top_three
1,6891,Male,3457,0.5016688434189522,"Male (3457, 50.2%); Female (2721, 39.5%); Unknown (713, 10.3%)"
2,3646,Female,1636,0.4487109160724081,"Female (1636, 44.9%); Male (1589, 43.6%); Unknown (421, 11.5%)"
3,3236,Male,1584,0.4894932014833127,"Male (1584, 48.9%); Female (1167, 36.1%); Unknown (485, 15.0%)"
4,2581,Male,1286,0.49825648973266173,"Male (1286, 49.8%); Female (904, 35.0%); Unknown (391, 15.1%)"
5,2201,Female,1320,0.5997273966378919,"Female (1320, 60.0%); Male (668, 30.3%); Unknown (213, 9.7%)"
6,1963,Male,1075,0.5476311767702496,"Male (1075, 54.8%); Female (644, 32.8%); Unknown (244, 12.4%)"
7,1754,Male,954,0.5438996579247435,"Male (954, 54.4%); Female (625, 35.6%); Unknown (175, 10.0%)"
8,1748,Male,901,0.5154462242562929,"Male (901, 51.5%); Female (599, 34.3%); Unknown (248, 14.2%)"
9,1609,Male,736,0.4574269732753263,"Male (736, 45.7%); Female (649, 40.3%); Unknown (224, 13.9%)"
10,1599,Male,784,0.4903064415259537,"Male (784, 49.0%); Female (692, 43.3%); Unknown (123, 7.7%)"
11,1580,Male,786,0.49746835443037973,"Male (786, 49.7%); Female (535, 33.9%); Unknown (259, 16.4%)"
12,1564,Male,700,0.4475703324808184,"Male (700, 44.8%); Female (690, 44.1%); Unknown (174, 11.1%)"
13,1240,Male,513,0.4137096774193548,"Male (513, 41.4%); Female (427, 34.4%); Unknown (300, 24.2%)"
14,1219,Unknown,636,0.5217391304347826,"Unknown (636, 52.2%); Female (309, 25.3%); Male (274, 22.5%)"
15,1209,Male,563,0.46567411083540117,"Male (563, 46.6%); Female (480, 39.7%); Unknown (166, 13.7%)"
16,1160,Male,661,0.5698275862068966,"Male (661, 57.0%); Female (329, 28.4%); Unknown (170, 14.7%)"
17,1139,Male,510,0.44776119402985076,"Male (510, 44.8%); Female (408, 35.8%); Unknown (221, 19.4%)"
18,1058,Male,471,0.44517958412098296,"Male (471, 44.5%); Female (335, 31.7%); Unknown (252, 23.8%)"
19,988,Male,442,0.4473684210526316,"Male (442, 44.7%); Female (333, 33.7%); Unknown (213, 21.6%)"
20,894,Male,496,0.5548098434004475,"Male (496, 55.5%); Female (334, 37.4%); Unknown (64, 7.2%)"
21,838,Unknown,383,0.45704057279236276,"Unknown (383, 45.7%); Female (240, 28.6%); Male (215, 25.7%)"
22,772,Male,426,0.5518134715025906,"Male (426, 55.2%); Female (246, 31.9%); Unknown (100, 13.0%)"
23,744,Male,403,0.5416666666666666,"Male (403, 54.2%); Female (270, 36.3%); Unknown (71, 9.5%)"
24,719,Male,397,0.5521557719054242,"Male (397, 55.2%); Female (261, 36.3%); Unknown (61, 8.5%)"
25,668,Male,315,0.47155688622754494,"Male (315, 47.2%); Female (262, 39.2%); Unknown (91, 13.6%)"
26,667,Male,294,0.4407796101949025,"Male (294, 44.1%); Female (229, 34.3%); Unknown (144, 21.6%)"
27,629,Male,307,0.48807631160572335,"Male (307, 48.8%); Female (231, 36.7%); Unknown (91, 14.5%)"
28,629,Male,228,0.3624801271860095,"Male (228, 36.2%); Unknown (228, 36.2%); Female (173, 27.5%)"
29,609,Male,287,0.47126436781609193,"Male (287, 47.1%); Female (281, 46.1%); Unknown (41, 6.7%)"
30,571,Unknown,267,0.46760070052539404,"Unknown (267, 46.8%); Female (175, 30.6%); Male (129, 22.6%)"
31,537,Unknown,263,0.4897579143389199,"Unknown (263, 49.0%); Female (151, 28.1%); Male (123, 22.9%)"
32,530,Unknown,287,0.5415094339622641,"Unknown (287, 54.2%); Female (127, 24.0%); Male (116, 21.9%)"
