community,n_authors,mean_ukb_h_index,median_ukb_papers,female_name_share,modal_for_l2,modal_for_l4,modal_institution,modal_country,author_share,cumulative_author_share,top_topics,top_institutions
1,6891,3.436221158032216,2.0,43.56400143420581,Biological Sciences,Genetics,University Medical Center Groningen,United States,9.952770917284111,9.952770917284111,Genetics (51%); Epidemiology (17%); Clinical Sciences (9%),University Medical Center Groningen (2%); Erasmus MC (2%); Leiden University Medical Center (2%)
2,3646,2.490674712013165,2.0,50.78864353312303,Biomedical and Clinical Sciences,Oncology and Carcinogenesis,National Cancer Institute,United States,5.265970507098806,15.218741424382916,Oncology and Carcinogenesis (31%); Genetics (27%); Epidemiology (17%),National Cancer Institute (5%); International Agency for Research on Cancer (2%); Washington University in St. Louis (2%)
3,3236,2.585599505562423,2.0,42.33511586452763,Biological Sciences,Genetics,Massachusetts General Hospital,United States,4.673801580080015,19.89254300446293,Genetics (34%); Epidemiology (21%); Cardiovascular Medicine and Haematology (17%),Massachusetts General Hospital (5%); Broad Institute (4%); University of North Carolina at Chapel Hill (4%)
4,2581,2.757070902750872,2.0,41.640042598509055,Biomedical and Clinical Sciences,Biological Psychology,University of Oslo,United States,3.7277756113060936,23.620318615769023,Biological Psychology (55%); Genetics (14%); Clinical Sciences (10%),University of Oslo (5%); Wellcome Centre for Integrative Neuroimaging (3%); King's College London (3%)
5,2201,1.3893684688777828,1.0,66.53824986241057,Biological Sciences,Genetics,Princess Royal Hospital,United Kingdom,3.1789361179716047,26.79925473374063,Genetics (46%); Epidemiology (38%); Health Services and Systems (7%),Princess Royal Hospital (2%); University of Oxford (2%); University of Siena (1%)
6,1963,2.378502292409577,2.0,37.163978494623656,Biomedical and Clinical Sciences,Clinical Sciences,University College London,United Kingdom,2.835189277409478,29.634444011150105,Clinical Sciences (31%); Cardiovascular Medicine and Haematology (25%); Genetics (12%),University College London (7%); King's College London (7%); Imperial College London (6%)
7,1754,2.4789053591790196,2.0,39.77110157367668,Biological Sciences,Genetics,Regeneron Pharmaceuticals Inc,United States,2.5333275560755086,32.167771567225614,Genetics (50%); Cardiovascular Medicine and Haematology (9%); Epidemiology (9%),Regeneron Pharmaceuticals Inc (16%); University of Cambridge (8%); AstraZeneca UK Ltd (4%)
8,1748,1.784324942791762,1.0,39.45902943516309,Biomedical and Clinical Sciences,Clinical Sciences,University of Pennsylvania,United States,2.5246616693386486,34.69243323656426,Clinical Sciences (38%); Genetics (18%); Epidemiology (16%),University of Pennsylvania (11%); Universitätsklinikum Aachen (5%); Icahn School of Medicine at Mount Sinai (3%)
9,1609,3.124300807955252,2.0,46.927374301675975,Biomedical and Clinical Sciences,Epidemiology,University of Exeter,United Kingdom,2.323901959934717,37.01633519649898,Epidemiology (31%); Clinical Sciences (21%); Genetics (19%),University of Exeter (10%); University of Bristol (9%); MRC Integrative Epidemiology Unit (8%)
10,1599,1.801125703564728,2.0,45.48238897396631,Biomedical and Clinical Sciences,Clinical Sciences,National Institutes of Health,United States,2.309458815373283,39.32579401187226,Clinical Sciences (23%); Genetics (22%); Epidemiology (18%),National Institutes of Health (4%); Queen Mary University of London (3%); Stanford University (3%)
11,1580,2.599367088607595,2.0,39.10614525139665,Biomedical and Clinical Sciences,Ophthalmology and Optometry,University of Leeds,United Kingdom,2.2820168407065586,41.60781085257882,Ophthalmology and Optometry (38%); Genetics (18%); Clinical Sciences (10%),University of Leeds (5%); University of Melbourne (3%); Chinese University of Hong Kong (3%)
12,1564,3.4820971867007673,2.0,49.60443037974684,Biomedical and Clinical Sciences,Biological Psychology,University of Glasgow,United Kingdom,2.258907809408264,43.866718661987086,Biological Psychology (26%); Clinical Sciences (25%); Epidemiology (11%),University of Glasgow (14%); King's College London (11%); University of Edinburgh (9%)
13,1240,2.125,1.0,42.432432432432435,Biomedical and Clinical Sciences,Clinical Sciences,Zhejiang University,China,1.7909499256178054,45.65766858760489,Clinical Sciences (32%); Genetics (23%); Epidemiology (18%),Zhejiang University (7%); First Affiliated Hospital of Chongqing Medical University (4%); King's College London (4%)
14,1219,1.970467596390484,2.0,42.666666666666664,Biomedical and Clinical Sciences,Clinical Sciences,Southern Medical University,China,1.7606193220387942,47.41828790964368,Clinical Sciences (28%); Epidemiology (27%); Public Health (8%),Southern Medical University (15%); Zhejiang University (11%); Soochow University (5%)
15,1209,2.54177005789909,2.0,45.775401069518715,Biomedical and Clinical Sciences,Biological Psychology,Yale University,United States,1.7461761774773603,49.16446408712104,Biological Psychology (38%); Genetics (31%); Clinical Sciences (8%),Yale University (7%); Virginia Commonwealth University (4%); Massachusetts General Hospital (4%)
16,1160,2.5344827586206895,2.0,31.823745410036718,Biological Sciences,Genetics,Harvard University,United States,1.6754047691263343,50.83986885624737,Genetics (39%); Epidemiology (20%); Bioinformatics and Computational Biology (9%),"Harvard University (8%); University of California, Los Angeles (6%); Google LLC (6%)"
17,1139,2.182616330114135,1.0,45.38558786346397,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,University of Leicester,United Kingdom,1.6450741655473229,52.48494302179469,Cardiovascular Medicine and Haematology (29%); Epidemiology (18%); Clinical Sciences (16%),University of Leicester (8%); National Heart and Lung Institute (3%); Imperial College London (3%)
18,1058,2.6625708884688093,2.0,38.98026315789474,Biomedical and Clinical Sciences,Epidemiology,University of Oxford,United Kingdom,1.5280846945997082,54.0130277163944,Epidemiology (31%); Clinical Sciences (23%); Cardiovascular Medicine and Haematology (10%),University of Oxford (26%); Peking University (9%); University of Edinburgh (5%)
19,988,2.325910931174089,2.0,40.89403973509934,Biomedical and Clinical Sciences,Biological Psychology,University of Pennsylvania,United States,1.4269826826696708,55.440010399064064,Biological Psychology (42%); Genetics (17%); Clinical Sciences (9%),University of Pennsylvania (10%); University of Wisconsin-Madison (6%); University of North Carolina at Chapel Hill (5%)
20,894,3.0894854586129754,1.0,40.92178770949721,Biological Sciences,Genetics,Decode Genetics ehf,Denmark,1.2912171237921921,56.73122752285626,Genetics (43%); Clinical Sciences (17%); Cardiovascular Medicine and Haematology (13%),Decode Genetics ehf (14%); University of Copenhagen (9%); Rigshospitalet (7%)
21,838,2.509546539379475,2.0,43.07692307692308,Biomedical and Clinical Sciences,Clinical Sciences,Tianjin Medical University,China,1.2103355142481622,57.94156303710442,Clinical Sciences (30%); Epidemiology (19%); Cardiovascular Medicine and Haematology (10%),Tianjin Medical University (11%); Uppsala University (6%); Sheng Jing Hospital (6%)
22,772,2.0958549222797926,2.0,35.65217391304348,Biological Sciences,Genetics,Stanford University,United States,1.1150107601426982,59.05657379724712,Genetics (34%); Epidemiology (19%); Cardiovascular Medicine and Haematology (12%),Stanford University (31%); The University of Texas at Austin (5%); University of Southern California (4%)
23,744,1.881720430107527,1.0,40.480274442538594,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Institut Universitaire de Cardiologie et de Pneumologie de Québec,Canada,1.0745699553706833,60.1311437526178,Cardiovascular Medicine and Haematology (26%); Genetics (23%); Clinical Sciences (21%),Institut Universitaire de Cardiologie et de Pneumologie de Québec (7%); McMaster University (6%); Rigshospitalet (5%)
24,719,1.7579972183588317,1.0,39.29203539823009,Biomedical and Clinical Sciences,Clinical Sciences,Yale University,United States,1.0384620939670985,61.1696058465849,Clinical Sciences (44%); Epidemiology (27%); Genetics (16%),Yale University (11%); Massachusetts General Hospital (6%); Leiden University Medical Center (3%)
25,668,2.1991017964071857,1.0,45.88910133843212,Biomedical and Clinical Sciences,Clinical Sciences,The University of Sydney,United Kingdom,0.9648020567037855,62.13440790328869,Clinical Sciences (30%); Epidemiology (19%); Public Health (11%),The University of Sydney (13%); University College London (10%); University of Helsinki (4%)
26,667,1.2833583208395802,1.0,43.78109452736319,Biomedical and Clinical Sciences,Clinical Sciences,Sun Yat-sen University,United States,0.9633577422476421,63.097765645536334,Clinical Sciences (24%); Genetics (22%); Biochemistry and Cell Biology (12%),Sun Yat-sen University (13%); Icahn School of Medicine at Mount Sinai (5%); Sun Yat-sen University Cancer Center (4%)
27,629,2.627980922098569,2.0,42.79661016949152,Biomedical and Clinical Sciences,Clinical Sciences,McGill University,Canada,0.9084737929141933,64.00623943845052,Clinical Sciences (45%); Genetics (26%); Epidemiology (14%),"McGill University (24%); University of Montreal (4%); University of California, San Francisco (3%)"
28,629,1.8744038155802862,1.0,36.40350877192982,Biomedical and Clinical Sciences,Clinical Sciences,Zhengzhou University,China,0.9084737929141933,64.91471323136471,Clinical Sciences (30%); Epidemiology (22%); Genetics (14%),Zhengzhou University (6%); Tongji Medical College of Huazhong University of Science and Technology (6%); Shanghai Jiao Tong University (5%)
29,609,1.9080459770114941,1.0,49.80544747081712,Biological Sciences,Genetics,Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,United States,0.8795875037913254,65.79430073515604,Genetics (42%); Clinical Sciences (20%); Medical Biochemistry and Metabolomics (11%),Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico (6%); University of Lille (5%); Imperial College London (5%)
30,571,2.10507880910683,2.0,46.91358024691358,Biomedical and Clinical Sciences,Clinical Sciences,West China Hospital of Sichuan University,China,0.8247035544578766,66.61900428961393,Clinical Sciences (27%); Epidemiology (23%); Cardiovascular Medicine and Haematology (13%),West China Hospital of Sichuan University (20%); Fujian Medical University (16%); Fudan University (9%)
31,537,2.1415270018621975,2.0,36.0,Biomedical and Clinical Sciences,Epidemiology,Nanjing Medical University,China,0.7755968629490012,67.39460115256293,Epidemiology (28%); Oncology and Carcinogenesis (21%); Clinical Sciences (15%),Nanjing Medical University (42%); Jiangsu Province Hospital (8%); Harvard University (4%)
32,530,1.9226415094339622,2.0,36.8421052631579,Biomedical and Clinical Sciences,Ophthalmology and Optometry,Southern Medical University,China,0.7654866617559976,68.16008781431893,Ophthalmology and Optometry (26%); Clinical Sciences (20%); Epidemiology (17%),Southern Medical University (28%); Sun Yat-sen University (9%); Shanghai Jiao Tong University (8%)
33,526,1.673003802281369,1.0,39.6551724137931,Biomedical and Clinical Sciences,Epidemiology,Shandong University,China,0.7597094039314239,68.91979721825035,Epidemiology (35%); Genetics (20%); Clinical Sciences (19%),Shandong University (27%); Xuzhou Medical College (7%); Shandong Provincial Hospital (6%)
34,506,2.130434782608696,2.0,35.8974358974359,Biomedical and Clinical Sciences,Epidemiology,Tongji Medical College of Huazhong University of Science and Technology,China,0.7308231148085561,69.65062033305891,Epidemiology (29%); Clinical Sciences (15%); Genetics (12%),Tongji Medical College of Huazhong University of Science and Technology (35%); Tongji Hospital Affiliated to Tongji Medical College of Huazhong University of Science & Technology (16%); Union Hospital Tongji Medical College Huazhong University of Science and Technology (9%)
35,503,2.5984095427435387,2.0,28.35820895522388,Biomedical and Clinical Sciences,Biological Psychology,Fudan University,China,0.726490171440126,70.37711050449903,Biological Psychology (22%); Clinical Sciences (21%); Epidemiology (16%),Fudan University (15%); Huashan Hospital (13%); First Affiliated Hospital of Zhengzhou University (10%)
36,491,1.8268839103869654,1.0,41.42156862745098,Biomedical and Clinical Sciences,Clinical Sciences,Monash University,Australia,0.7091583979664052,71.08626890246543,Clinical Sciences (40%); Cardiovascular Medicine and Haematology (17%); Genetics (11%),Monash University (19%); University of Melbourne (7%); Baker IDI Heart and Diabetes Institute (5%)
37,482,1.5809128630705394,1.0,21.21212121212121,Biomedical and Clinical Sciences,Clinical Sciences,Shanghai Jiao Tong University,China,0.6961595678611148,71.78242847032655,Clinical Sciences (41%); Epidemiology (17%); Public Health (10%),Shanghai Jiao Tong University (15%); Sun Yat-sen University (6%); Qilu Hospital of Shandong University (4%)
38,465,1.9268817204301076,1.0,42.1875,Biological Sciences,Genetics,Xi'an Jiaotong University,United States,0.6716062221066771,72.45403469243323,Genetics (31%); Cardiovascular Medicine and Haematology (18%); Clinical Sciences (13%),"Xi'an Jiaotong University (10%); University of Maryland, Baltimore (7%); École Polytechnique Fédérale de Lausanne (7%)"
39,460,2.0043478260869567,2.0,46.45892351274787,Biomedical and Clinical Sciences,Biological Psychology,McGill University,Canada,0.6643846498259601,73.11841934225919,Biological Psychology (56%); Clinical Sciences (13%); Epidemiology (6%),McGill University (28%); Monash University (4%); University Medical Center Hamburg-Eppendorf (4%)
40,454,2.1762114537444934,2.0,41.935483870967744,Biomedical and Clinical Sciences,Epidemiology,Yonsei University,South Korea,0.6557187630890997,73.77413810534829,Epidemiology (28%); Cardiovascular Medicine and Haematology (27%); Clinical Sciences (23%),Yonsei University (13%); Sun Yat-sen University (11%); Seoul National University Hospital (6%)
41,410,1.9609756097560975,2.0,39.795918367346935,Biomedical and Clinical Sciences,Epidemiology,Zhejiang Chinese Medical University,China,0.5921689270187905,74.36630703236708,Epidemiology (31%); Genetics (26%); Clinical Sciences (12%),Zhejiang Chinese Medical University (18%); Zhejiang University (12%); Adelaide University (11%)
42,405,1.8666666666666667,1.0,35.67251461988304,Biomedical and Clinical Sciences,Epidemiology,University of Hong Kong,China,0.5849473547380736,74.95125438710515,Epidemiology (23%); Clinical Sciences (23%); Genetics (13%),University of Hong Kong (26%); Genentech Inc (6%); Chinese University of Hong Kong (5%)
43,399,2.100250626566416,1.0,14.705882352941176,Biomedical and Clinical Sciences,Clinical Sciences,Xiangya Hospital Central South University,China,0.5762814680012133,75.52753585510636,Clinical Sciences (30%); Epidemiology (21%); Cardiovascular Medicine and Haematology (14%),Xiangya Hospital Central South University (38%); Central South University (19%); Renmin Hospital of Wuhan University (7%)
44,337,2.851632047477745,2.0,32.72727272727273,Biomedical and Clinical Sciences,Clinical Sciences,Xi'an Jiaotong University,China,0.48673397172032296,76.01426982682669,Clinical Sciences (27%); Epidemiology (21%); Genetics (19%),Xi'an Jiaotong University (32%); Soochow University (9%); Michigan Technological University (5%)
45,330,2.2393939393939393,2.0,49.38775510204081,Biomedical and Clinical Sciences,Genetics,"University of California, San Francisco",United States,0.4766237705273192,76.49089359735402,Genetics (28%); Epidemiology (16%); Oncology and Carcinogenesis (13%),"University of California, San Francisco (36%); Kaiser Permanente (9%); St. Jude Children's Research Hospital (4%)"
46,306,1.526143790849673,1.0,13.333333333333334,Biomedical and Clinical Sciences,Epidemiology,Harbin Medical University,China,0.4419602235798778,76.9328538209339,Epidemiology (38%); Clinical Sciences (19%); Cardiovascular Medicine and Haematology (15%),Harbin Medical University (24%); First Affiliated Hospital of Jinan University (10%); Second Affiliated Hospital of Harbin Medical University (8%)
47,281,1.2419928825622777,1.0,44.0,Biomedical and Clinical Sciences,Biological Psychology,Tianjin Medical University General Hospital,China,0.405852362176293,77.33870618311019,Biological Psychology (57%); Genetics (13%); Epidemiology (11%),Tianjin Medical University General Hospital (17%); State Key Laboratory of Cognitive Neuroscience and Learning (15%); Beijing Normal University (9%)
48,273,1.8021978021978022,1.0,23.076923076923077,Biomedical and Clinical Sciences,Epidemiology,Soochow University,China,0.3942978465271459,77.73300402963734,Epidemiology (18%); Clinical Sciences (17%); Nutrition and Dietetics (14%),Soochow University (19%); Guangxi Medical University (6%); Ningbo No. 2 Hospital (6%)
49,270,1.7777777777777777,2.0,36.312849162011176,Biomedical and Clinical Sciences,Oncology and Carcinogenesis,Endeavor Health Clinical Operations,United States,0.38996490315871574,78.12296893279606,Oncology and Carcinogenesis (31%); Clinical Sciences (27%); Biochemistry and Cell Biology (11%),Endeavor Health Clinical Operations (19%); Duke University (11%); Translational Genomics Research Institute (6%)
50,270,1.9111111111111112,1.0,37.878787878787875,Biomedical and Clinical Sciences,Clinical Sciences,The Seventh Affiliated Hospital of Sun Yat-sen University,China,0.38996490315871574,78.51293383595477,Clinical Sciences (26%); Epidemiology (21%); Oncology and Carcinogenesis (16%),The Seventh Affiliated Hospital of Sun Yat-sen University (27%); University of Birmingham (14%); Lanzhou University (9%)
51,267,1.749063670411985,2.0,37.5,Biological Sciences,Epidemiology,Rady Children's Hospital-San Diego,Taiwan,0.38563195979028553,78.89856579574506,Epidemiology (52%); Genetics (40%); Bioinformatics and Computational Biology (3%),Rady Children's Hospital-San Diego (12%); University of Calgary (8%); Michigan State University (7%)
