paper_id,year,title,for_l2,for_l4
pub.1000169743,2014,"Ethnic-Specific Obesity Cutoffs for Diabetes Risk: Cross-sectional Study of 490,288 UK Biobank Participants",Biomedical and Clinical Sciences; Health Sciences,Epidemiology; Nutrition and Dietetics; Public Health
pub.1000305094,2016,Data science for mental health: a UK perspective on a global challenge,Biomedical and Clinical Sciences; Psychology,Applied and Developmental Psychology; Clinical Sciences; Clinical and Health Psychology
pub.1001609820,2016,"Ambient air pollution, traffic noise and adult asthma prevalence: a BioSHaRE approach",Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology
pub.1001822430,2016,"Correction: Cognitive Test Scores in UK Biobank: Data Reduction in 480,416 Participants and Longitudinal Stability in 20,346 Participants",Mathematical Sciences; Psychology,Statistics
pub.1001987017,2014,"0154 A new, efficient web-based tool to collect and code lifetime job histories in large population-based studies: the COPD project in the UK Biobank cohort",Health Sciences,Public Health
pub.1002054026,2015,"The Effect of Prenatal and Childhood Development on Hearing, Vision and Cognition in Adulthood",Biomedical and Clinical Sciences; Health Sciences; Psychology,Biological Psychology
pub.1002345932,2016,Resolving TYK2 locus genotype-to-phenotype differences in autoimmunity,Biomedical and Clinical Sciences,Medical Biotechnology
pub.1002524495,2016,Algorithms for the Capture and Adjudication of Prevalent and Incident Diabetes in UK Biobank,Health Sciences,Health Services and Systems
pub.1003297412,2016,Multimodal population brain imaging in the UK Biobank prospective epidemiological study,Biomedical and Clinical Sciences,Neurosciences
pub.1003469377,2016,Automated retinal image quality assessment on the UK Biobank dataset for epidemiological studies,Information and Computing Sciences,Computer Vision and Multimedia Computation
pub.1003789139,2016,Genome-wide association analyses using electronic health records identify new loci influencing blood pressure variation,Biological Sciences,Genetics
pub.1003942378,2016,Low birth weight and features of neuroticism and mood disorder in 83 545 participants of the UK Biobank cohort,Biomedical and Clinical Sciences,Clinical Sciences
pub.1004143638,2015,"Laser refractive surgery in the UK Biobank study Frequency, distribution by sociodemographic factors, and general health, happiness, and social participation outcomes",Biomedical and Clinical Sciences,Ophthalmology and Optometry
pub.1004938304,2014,Self-Reported Facial Pain in UK Biobank Study: Prevalence and Associated Factors,Biomedical and Clinical Sciences; Health Sciences,Dentistry
pub.1005252107,2014,OP42 Association of physical activity with body size and composition in pre- and postmenopausal UK Biobank women: a cross-sectional study,Health Sciences,Public Health
pub.1005712142,2016,A method to customize population-specific arrays for genome-wide association testing,Biological Sciences,Genetics
pub.1005777768,2016,UK Biobank's cardiovascular magnetic resonance protocol,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology
pub.1005962523,2016,Genome-wide analysis of over 106 000 individuals identifies 9 neuroticism-associated loci,Psychology,Biological Psychology; Social and Personality Psychology
pub.1006980953,2016,Fast and accurate long-range phasing in a UK Biobank cohort,"Agricultural, Veterinary and Food Sciences; Biological Sciences",Agricultural Biotechnology; Bioinformatics and Computational Biology; Genetics
pub.1007302027,2015,Wie overlijdt binnen de vijf jaar?,Unclassified,Unclassified
pub.1007429445,2015,The ICR1000 UK exome series: a resource of gene variation in an outbred population,Biological Sciences; Health Sciences,Genetics
pub.1007480785,2016,Feasibility of MR-Based Body Composition Analysis in Large Scale Population Studies,Biomedical and Clinical Sciences,Clinical Sciences
pub.1007555141,2016,Metabolomic Profiling of Statin Use and Genetic Inhibition of HMG-CoA Reductase,Biomedical and Clinical Sciences,Medical Biochemistry and Metabolomics
pub.1008040060,2015,The acceptability of repeat Internet-based hybrid diet assessment of previous 24-h dietary intake: administration of the Oxford WebQ in UK Biobank,Biomedical and Clinical Sciences,Nutrition and Dietetics
pub.1008319921,2014,Hearing in Middle Age,Biomedical and Clinical Sciences; Health Sciences,Allied Health and Rehabilitation Science; Clinical Sciences
pub.1008453429,2015,Frequency and Distribution of Refractive Error in Adult Life: Methodology and Findings of the UK Biobank Study,Biomedical and Clinical Sciences; Health Sciences,Allied Health and Rehabilitation Science; Ophthalmology and Optometry
pub.1008479333,2016,Population structure of UK Biobank and ancient Eurasians reveals adaptation at genes influencing blood pressure,Biological Sciences,Genetics
pub.1008585021,2015,Saliva in studies of epidemiology of human disease: the UK Biobank project,Biomedical and Clinical Sciences,Dentistry
pub.1009204166,2016,"Personality Polygenes, Positive Affect, and Life Satisfaction",Biomedical and Clinical Sciences,Clinical Sciences; Reproductive Medicine
pub.1009524020,2016,"Smoking, Screen-Based Sedentary Behavior, and Diet Associated with Habitual Sleep Duration and Chronotype: Data from the UK Biobank",Health Sciences,Public Health
pub.1009579097,2015,The OPTIMISE data project: toward improving multiple sclerosis treatment,Biomedical and Clinical Sciences,Clinical Sciences; Neurosciences
pub.1010090730,2015,On the relationship between functional hearing and depression,Biomedical and Clinical Sciences; Health Sciences,Allied Health and Rehabilitation Science; Clinical Sciences
pub.1010150906,2014,Germline polymorphisms and survival of lung adenocarcinoma patients: A genome‐wide study in two European patient series,Biomedical and Clinical Sciences,Oncology and Carcinogenesis
pub.1010293851,2014,Body-mass index and risk of 22 specific cancers: a population-based cohort study of 5·24 million UK adults,Biomedical and Clinical Sciences; Health Sciences,Health Services and Systems
pub.1010716227,2015,"Season of birth is associated with birth weight, pubertal timing, adult body size and educational attainment: a UK Biobank study",Biomedical and Clinical Sciences,Paediatrics; Reproductive Medicine
pub.1010769917,2016,"Human Longevity is Influenced by Many Genetic Variants: Evidence from 75,000 UK Biobank Participants",Biological Sciences; Health Sciences,Epidemiology; Genetics
pub.1010852527,2016,Genome-wide association study identifies 74 loci associated with educational attainment,Biological Sciences; Health Sciences; Mathematical Sciences,Epidemiology; Genetics; Statistics
pub.1011105940,2016,Dissection of Major Depressive Disorder using polygenic risk scores for Schizophrenia in two independent cohort,Health Sciences; Psychology,Biological Psychology
pub.1011313456,2015,UK Biobank Urban Morphometric Platform (UKBUMP) – a nationwide resource for evidence-based healthy city planning and public health interventions,Earth Sciences; Engineering,Geomatic Engineering; Physical Geography and Environmental Geoscience
pub.1012579631,2016,Dissection of major depressive disorder using polygenic risk scores for schizophrenia in two independent cohorts,Psychology,Biological Psychology; Social and Personality Psychology
pub.1013318110,2016,"Height, body mass index, and socioeconomic status: mendelian randomisation study in UK Biobank",Health Sciences,Epidemiology; Public Health
pub.1013850697,2015,Decomposition of Shared Latent Factors Using Bayesian Multi-morbidity Dependency Maps,Biological Sciences,Genetics
pub.1014259319,2016,Improved Genetic Profiling of Anthropometric Traits Using a Big Data Approach,Biological Sciences; Health Sciences,Epidemiology; Genetics
pub.1014351681,2016,Genetic contributions to self-reported tiredness,Biological Sciences; Health Sciences; Psychology,Biological Psychology; Epidemiology; Genetics; Public Health
pub.1014516128,2014,"Cigarette Smoking, Passive Smoking, Alcohol Consumption, and Hearing Loss",Biomedical and Clinical Sciences,Clinical Sciences
pub.1014778630,2016,Multi-ethnic polygenic risk scores improve risk prediction in diverse populations,Biological Sciences; Health Sciences,Epidemiology; Genetics
pub.1014904855,2015,Accuracy of Electronic Health Record Data for Identifying Stroke Cases in Large-Scale Epidemiological Studies: A Systematic Review from the UK Biobank Stroke Outcomes Group,Health Sciences,Health Services and Systems; Public Health
pub.1015010011,2016,Identification of genomic loci associated with resting heart rate and shared genetic predictors with all-cause mortality,Biological Sciences,Genetics
pub.1015987462,2016,Hand classification of fMRI ICA noise components,Biomedical and Clinical Sciences; Health Sciences,Unclassified
pub.1016203361,2016,Commonly prescribed drugs associate with cognitive function: a cross-sectional study in UK Biobank,Biomedical and Clinical Sciences; Health Sciences,Pharmacology and Pharmaceutical Sciences
pub.1016323141,2015,Role of Educational Exposure in the Association Between Myopia and Birth Order,Biomedical and Clinical Sciences,Ophthalmology and Optometry
pub.1016337581,2016,The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease,Biological Sciences,Genetics
pub.1017345547,2016,Genetic Predisposition to COPD: Are There Any Relevant Genes Determining the Susceptibility to Smoking?,Biological Sciences; Biomedical and Clinical Sciences,Genetics; Pharmacology and Pharmaceutical Sciences
pub.1018536022,2014,"Gender differences in the association between adiposity and probable major depression: a cross-sectional study of 140,564 UK Biobank participants",Biomedical and Clinical Sciences; Health Sciences,Nutrition and Dietetics; Public Health
pub.1018728624,2015,Genome-wide association study identifies SESTD1 as a novel risk gene for lithium-responsive bipolar disorder,Biomedical and Clinical Sciences,Pharmacology and Pharmaceutical Sciences
pub.1019636905,2015,Ethnic differences in the association between depression and chronic pain: cross sectional results from UK Biobank,Health Sciences,Health Services and Systems; Public Health
pub.1020363554,2016,Body-mass index and cardiometabolic disease: a Mendelian randomisation study of UK Biobank participants,Health Sciences,Epidemiology
pub.1020414453,2015,P55 The occupations associated with COPD risk in the large population-based UK Biobank cohort study,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology; Clinical Sciences
pub.1020559731,2015,Serial Patterns of Ovarian Cancer Biomarkers in a Prediagnosis Longitudinal Dataset,Biomedical and Clinical Sciences; Health Sciences,Health Services and Systems; Oncology and Carcinogenesis
pub.1020604818,2016,"Active commuting and obesity in mid-life: cross-sectional, observational evidence from UK Biobank",Biomedical and Clinical Sciences,Clinical Sciences; Nutrition and Dietetics
pub.1020735006,2014,Understanding the impact of pre-analytic variation in haematological and clinical chemistry analytes on the power of association studies,Health Sciences,Epidemiology
